offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord E5 G5>,"[0, 3]","[4, 7]","[4, 7]",79,76,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[4, 7]_4",0.9124682675138172
0.5,<music21.chord.Chord G5 E5>,"[0, 3]","[4, 7]","[4, 7]",79,76,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[4, 7]_4",0.9124682675138172
1.0,<music21.chord.Chord A3 E5 C4 C5>,"[0, 3, 7]","[9, 0, 4]","[9, 0, 4]",76,57,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[9, 0, 4]_9",0.9124682675138172
1.5,<music21.chord.Chord C4 A3>,"[0, 3]","[9, 0]","[9, 0]",60,57,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[9, 0]_9",0.9124682675138172
2.0,<music21.chord.Chord A3 F5 D5 F3>,"[0, 3, 7]","[2, 5, 9]","[2, 5, 9]",77,53,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[2, 5, 9]_5",0.9124682675138172
2.5,<music21.chord.Chord F5 D5>,"[0, 3]","[2, 5]","[2, 5]",77,74,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[2, 5]_2",0.9124682675138172
3.0,<music21.chord.Chord B4 D5 B3 G3>,"[0, 4, 7]","[7, 11, 2]","[7, 11, 2]",74,55,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[7, 11, 2]_7",0.9124682675138172
3.5,<music21.chord.Chord B3 G3>,"[0, 4]","[7, 11]","[7, 11]",59,55,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[7, 11]_7",0.9124682675138172
4.0,<music21.chord.Chord E3 C5 G3>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",72,52,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[0, 4, 7]_4",0.9124682675138172
4.25,<music21.chord.Chord D5>,[0],[2],[2],74,74,Piano Sonata K545 iii C major.mid,Mozart,0,major,[2]_2,0.9124682675138172
4.5,<music21.chord.Chord E5>,[0],[4],[4],76,76,Piano Sonata K545 iii C major.mid,Mozart,0,major,[4]_4,0.9124682675138172
4.75,<music21.chord.Chord C5>,[0],[0],[0],72,72,Piano Sonata K545 iii C major.mid,Mozart,0,major,[0]_0,0.9124682675138172
5.0,<music21.chord.Chord A4 F3>,"[0, 4]","[5, 9]","[5, 9]",69,53,Piano Sonata K545 iii C major.mid,Mozart,0,major,"[5, 9]_5",0.9124682675138172
