offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord C5 F3>,"[0, 5]","[0, 5]","[7, 0]",72,53,Piano Sonata K279 ii F major.mid,Mozart,5,major,"[7, 0]_0",0.9215286866739576
0.25,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
0.333333333,<music21.chord.Chord C5 A3>,"[0, 3]","[9, 0]","[4, 7]",72,57,Piano Sonata K279 ii F major.mid,Mozart,5,major,"[4, 7]_4",0.9215286866739576
0.583333333,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
0.666666667,<music21.chord.Chord C4 C5>,[0],[0],[7],72,60,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
0.75,<music21.chord.Chord C4>,[0],[0],[7],60,60,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
0.875,<music21.chord.Chord B4 C4>,"[0, 1]","[11, 0]","[6, 7]",71,60,Piano Sonata K279 ii F major.mid,Mozart,5,major,"[6, 7]_7",0.9215286866739576
0.916666667,<music21.chord.Chord B4>,[0],[11],[6],71,71,Piano Sonata K279 ii F major.mid,Mozart,5,major,[6]_6,0.9215286866739576
1.0,<music21.chord.Chord C5 G3>,"[0, 5]","[7, 0]","[2, 7]",72,55,Piano Sonata K279 ii F major.mid,Mozart,5,major,"[2, 7]_2",0.9215286866739576
1.25,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
1.333333333,<music21.chord.Chord C5 B-3>,"[0, 2]","[10, 0]","[5, 7]",72,58,Piano Sonata K279 ii F major.mid,Mozart,5,major,"[5, 7]_5",0.9215286866739576
1.5833333330000001,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
1.6666666669999999,<music21.chord.Chord C4 C5>,[0],[0],[7],72,60,Piano Sonata K279 ii F major.mid,Mozart,5,major,[7]_7,0.9215286866739576
