offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord C4 F4 A4 C5 F2 F3>,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",72,41,Piano Sonata K280 i F major.mid,Mozart,5,major,"[0, 4, 7]_0",0.8027507610358108
1.0,<music21.chord.Chord A4 C5 C3>,"[0, 3]","[9, 0]","[4, 7]",72,48,Piano Sonata K280 i F major.mid,Mozart,5,major,"[4, 7]_7",0.8144199831177729
2.0,<music21.chord.Chord A4 C5 A2>,"[0, 3]","[9, 0]","[4, 7]",72,45,Piano Sonata K280 i F major.mid,Mozart,5,major,"[4, 7]_4",0.8144199831177729
3.0,<music21.chord.Chord A4 C5 F2>,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",72,41,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11, 2]_7",0.8782280880984771
3.75,<music21.chord.Chord A4 C5>,"[0, 3]","[9, 0]","[4, 7]",72,69,Piano Sonata K280 i F major.mid,Mozart,10,major,"[11, 2]_11",0.8782280880984771
4.0,<music21.chord.Chord F1 A4 C5>,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",72,29,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11, 2]_7",0.8782280880984771
4.25,<music21.chord.Chord F1>,[0],[5],[0],29,29,Piano Sonata K280 i F major.mid,Mozart,10,major,[7]_7,0.8782280880984771
4.5,<music21.chord.Chord D5 F1>,"[0, 3]","[2, 5]","[9, 0]",74,29,Piano Sonata K280 i F major.mid,Mozart,10,major,"[4, 7]_7",0.8782280880984771
4.75,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K280 i F major.mid,Mozart,10,major,[2]_2,0.8782280880984771
5.0,<music21.chord.Chord B4>,[0],[11],[6],71,71,Piano Sonata K280 i F major.mid,Mozart,10,major,[1]_1,0.8782280880984771
5.125,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K280 i F major.mid,Mozart,10,major,[2]_2,0.8782280880984771
5.25,<music21.chord.Chord A4>,[0],[9],[4],69,69,Piano Sonata K280 i F major.mid,Mozart,10,major,[11]_11,0.8782280880984771
5.5,<music21.chord.Chord G4>,[0],[7],[2],67,67,Piano Sonata K280 i F major.mid,Mozart,10,major,[9]_9,0.8782280880984771
5.75,<music21.chord.Chord F4>,[0],[5],[0],65,65,Piano Sonata K280 i F major.mid,Mozart,10,major,[7]_7,0.8782280880984771
6.0,<music21.chord.Chord F5 F3 A3>,"[0, 4]","[5, 9]","[0, 4]",77,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11]_7",0.8782280880984771
6.375,<music21.chord.Chord F5>,[0],[5],[0],77,77,Piano Sonata K280 i F major.mid,Mozart,10,major,[7]_7,0.8782280880984771
6.5,<music21.chord.Chord F3 A3 F5>,"[0, 4]","[5, 9]","[0, 4]",77,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11]_7",0.8782280880984771
6.75,<music21.chord.Chord F3 A3>,"[0, 4]","[5, 9]","[0, 4]",57,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11]_7",0.8782280880984771
7.0,<music21.chord.Chord E5 F3 G3 B-3>,"[0, 1, 3, 6]","[4, 5, 7, 10]","[11, 0, 2, 5]",76,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[6, 7, 9, 0]_7",0.8782280880984771
7.375,<music21.chord.Chord E5>,[0],[4],[11],76,76,Piano Sonata K280 i F major.mid,Mozart,10,major,[6]_6,0.8782280880984771
7.5,<music21.chord.Chord F3 G3 B-3 E5>,"[0, 1, 3, 6]","[4, 5, 7, 10]","[11, 0, 2, 5]",76,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[6, 7, 9, 0]_7",0.8782280880984771
7.75,<music21.chord.Chord F3 G3 B-3>,"[0, 2, 5]","[5, 7, 10]","[0, 2, 5]",58,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 9, 0]_7",0.8782280880984771
8.0,<music21.chord.Chord E-5 F3 A3 C4>,"[0, 3, 6, 8]","[9, 0, 3, 5]","[4, 7, 10, 0]",75,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[11, 2, 5, 7]_7",0.8782280880984771
8.375,<music21.chord.Chord E-5>,[0],[3],[10],75,75,Piano Sonata K280 i F major.mid,Mozart,10,major,[5]_5,0.8782280880984771
8.5,<music21.chord.Chord F3 A3 C4 E-5>,"[0, 3, 6, 8]","[9, 0, 3, 5]","[4, 7, 10, 0]",75,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[11, 2, 5, 7]_7",0.8782280880984771
8.75,<music21.chord.Chord F3 A3 C4>,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",60,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[7, 11, 2]_7",0.8782280880984771
9.0,<music21.chord.Chord D5 F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]","[5, 9, 0]",74,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[0, 4, 7]_7",0.8782280880984771
9.375,<music21.chord.Chord D5>,[0],[2],[9],74,74,Piano Sonata K280 i F major.mid,Mozart,10,major,[4]_4,0.8782280880984771
9.5,<music21.chord.Chord F3 B-3 D4 D5>,"[0, 4, 7]","[10, 2, 5]","[5, 9, 0]",74,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[0, 4, 7]_7",0.8782280880984771
9.75,<music21.chord.Chord F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]","[5, 9, 0]",62,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[0, 4, 7]_7",0.8782280880984771
10.0,<music21.chord.Chord F3 B-3 D4>,"[0, 4, 7]","[10, 2, 5]","[5, 9, 0]",62,53,Piano Sonata K280 i F major.mid,Mozart,10,major,"[0, 4, 7]_7",0.8782280880984771
