offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord B-4 B-3>,[0],[10],[0],70,58,Piano Sonata K570 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
2.0,<music21.chord.Chord F4 F3>,[0],[5],[7],65,53,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[7]_7,0.7308828720216852
3.0,<music21.chord.Chord D4 D3>,[0],[2],[4],62,50,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[4]_4,0.7308828720216852
4.875,<music21.chord.Chord D4>,[0],[2],[4],62,62,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[4]_4,0.872615090588616
5.0,<music21.chord.Chord F4 F3>,[0],[5],[7],65,53,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[7]_7,0.872615090588616
6.0,<music21.chord.Chord B-4 F4 B-3>,"[0, 5]","[5, 10]","[7, 0]",70,58,Piano Sonata K570 i Bb major.mid,Mozart,10,major,"[7, 0]_0",0.8936805638878563
6.125,<music21.chord.Chord B-4 B-3>,[0],[10],[0],70,58,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[0]_0,0.8936805638878563
8.0,<music21.chord.Chord D5 D4>,[0],[2],[4],74,62,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[4]_4,0.8936805638878563
9.0,<music21.chord.Chord F5 D5 F4>,"[0, 3]","[2, 5]","[4, 7]",77,65,Piano Sonata K570 i Bb major.mid,Mozart,10,major,"[4, 7]_7",0.8936805638878563
9.125,<music21.chord.Chord F5 F4>,[0],[5],[7],77,65,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[7]_7,0.8936805638878563
11.0,<music21.chord.Chord B-5 F5 F4>,"[0, 5]","[5, 10]","[7, 0]",82,65,Piano Sonata K570 i Bb major.mid,Mozart,10,major,"[7, 0]_7",0.8936805638878563
11.125,<music21.chord.Chord B-5>,[0],[10],[0],82,82,Piano Sonata K570 i Bb major.mid,Mozart,10,major,[0]_0,0.8936805638878563
