offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3.0,<music21.chord.Chord C#5 E4 A3>,"[0, 4, 7]","[9, 1, 4]","[0, 4, 7]",73,57,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[0, 4, 7]_0",0.8944977179827542
3.625,<music21.chord.Chord E4 A3>,"[0, 5]","[4, 9]","[7, 0]",64,57,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[7, 0]_0",0.8990745984368919
3.75,<music21.chord.Chord D5 E4 A3>,"[0, 2, 7]","[2, 4, 9]","[5, 7, 0]",74,57,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[5, 7, 0]_0",0.8990745984368919
3.875,<music21.chord.Chord C#5 B4 E4 A3>,"[0, 2, 4, 7]","[9, 11, 1, 4]","[0, 2, 4, 7]",73,57,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[0, 2, 4, 7]_0",0.8990745984368919
4.0,<music21.chord.Chord C#5 E5 B3 E4>,"[0, 2, 5]","[11, 1, 4]","[2, 4, 7]",76,59,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[2, 4, 7]_2",0.8990745984368919
4.5,<music21.chord.Chord D5 E4 B3>,"[0, 3, 5]","[11, 2, 4]","[2, 5, 7]",74,59,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[2, 5, 7]_2",0.8990745984368919
5.0,<music21.chord.Chord B4 D4 E4>,"[0, 3, 5]","[11, 2, 4]","[2, 5, 7]",71,62,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[2, 5, 7]_5",0.8990745984368919
5.5,<music21.chord.Chord G#4 E4 D4>,"[0, 2, 6]","[2, 4, 8]","[5, 7, 11]",68,62,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[5, 7, 11]_5",0.915103053574379
6.0,<music21.chord.Chord A4 C#4 E4>,"[0, 4, 7]","[9, 1, 4]","[0, 4, 7]",69,61,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[0, 4, 7]_4",0.915103053574379
6.75,<music21.chord.Chord C#5 E4 C#4>,"[0, 3]","[1, 4]","[4, 7]",73,61,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[4, 7]_4",0.9431838684619194
6.875,<music21.chord.Chord A4 E4 C#4>,"[0, 4, 7]","[9, 1, 4]","[0, 4, 7]",69,61,Piano Sonata K576 ii A major.mid,Mozart,9,major,"[0, 4, 7]_4",0.9431838684619194
7.0,<music21.chord.Chord E5>,[0],[4],[7],76,76,Piano Sonata K576 ii A major.mid,Mozart,9,major,[7]_7,0.9431838684619194
