offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
2.0,<music21.chord.Chord D5>,[0],[2],[7],74,74,Piano Sonata K283 i G major.mid,Mozart,7,major,[7]_7,0.9044384604286004
2.75,<music21.chord.Chord B4>,[0],[11],[4],71,71,Piano Sonata K283 i G major.mid,Mozart,7,major,[4]_4,0.9044384604286004
3.0,<music21.chord.Chord D5 G3>,"[0, 5]","[2, 7]","[7, 0]",74,55,Piano Sonata K283 i G major.mid,Mozart,7,major,"[7, 0]_0",0.9044384604286004
3.5,<music21.chord.Chord D5 B3>,"[0, 3]","[11, 2]","[4, 7]",74,59,Piano Sonata K283 i G major.mid,Mozart,7,major,"[4, 7]_4",0.9044384604286004
3.75,<music21.chord.Chord B3>,[0],[11],[4],59,59,Piano Sonata K283 i G major.mid,Mozart,7,major,[4]_4,0.9044384604286004
4.0,<music21.chord.Chord D4>,[0],[2],[7],62,62,Piano Sonata K283 i G major.mid,Mozart,7,major,[7]_7,0.9044384604286004
4.5,<music21.chord.Chord B3>,[0],[11],[4],59,59,Piano Sonata K283 i G major.mid,Mozart,7,major,[4]_4,0.9044384604286004
5.0,<music21.chord.Chord G4 D4>,"[0, 5]","[2, 7]","[7, 0]",67,62,Piano Sonata K283 i G major.mid,Mozart,7,major,"[7, 0]_7",0.9044384604286004
5.5,<music21.chord.Chord G4 B3>,"[0, 4]","[7, 11]","[0, 4]",67,59,Piano Sonata K283 i G major.mid,Mozart,7,major,"[0, 4]_4",0.9044384604286004
6.0,<music21.chord.Chord F#4 A3>,"[0, 3]","[6, 9]","[11, 2]",66,57,Piano Sonata K283 i G major.mid,Mozart,7,major,"[11, 2]_2",0.9044384604286004
6.5,<music21.chord.Chord C4>,[0],[0],[5],60,60,Piano Sonata K283 i G major.mid,Mozart,7,major,[5]_5,0.9044384604286004
7.0,<music21.chord.Chord D4>,[0],[2],[7],62,62,Piano Sonata K283 i G major.mid,Mozart,7,major,[7]_7,0.9044384604286004
7.5,<music21.chord.Chord C4>,[0],[0],[5],60,60,Piano Sonata K283 i G major.mid,Mozart,7,major,[5]_5,0.9044384604286004
8.0,<music21.chord.Chord A5 D4>,"[0, 5]","[9, 2]","[2, 7]",81,62,Piano Sonata K283 i G major.mid,Mozart,7,major,"[2, 7]_7",0.9044384604286004
8.5,<music21.chord.Chord A5 C4>,"[0, 3]","[9, 0]","[2, 5]",81,60,Piano Sonata K283 i G major.mid,Mozart,7,major,"[2, 5]_5",0.9044384604286004
8.75,<music21.chord.Chord F#5 C4>,"[0, 6]","[0, 6]","[5, 11]",78,60,Piano Sonata K283 i G major.mid,Mozart,7,major,"[5, 11]_5",0.9044384604286004
