offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
4.0,<music21.chord.Chord D4 F#4 A4 D2 D3>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",69,38,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
4.125,<music21.chord.Chord D5 D4 F#4 A4 D2 D3>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",74,38,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
5.0,<music21.chord.Chord D5>,[0],[2],[0],74,74,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.0,<music21.chord.Chord G4 G3>,[0],[7],[5],67,55,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.25,<music21.chord.Chord F#4 F#3>,[0],[6],[4],66,54,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.5,<music21.chord.Chord E4 E3>,[0],[4],[2],64,52,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.75,<music21.chord.Chord D4 D3>,[0],[2],[0],62,50,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.0,<music21.chord.Chord G4 D4 G3>,"[0, 5]","[2, 7]","[0, 5]",67,55,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.083333333,<music21.chord.Chord G4 G3>,[0],[7],[5],67,55,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.25,<music21.chord.Chord F#4 F#3>,[0],[6],[4],66,54,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.5,<music21.chord.Chord E4 E3>,[0],[4],[2],64,52,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.75,<music21.chord.Chord D4 D3>,[0],[2],[0],62,50,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
8.0,<music21.chord.Chord A4 D4 A3>,"[0, 5]","[9, 2]","[7, 0]",69,57,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
8.083333332999999,<music21.chord.Chord A4 A3>,[0],[9],[7],69,57,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
9.0,<music21.chord.Chord F#4 F#3>,[0],[6],[4],66,54,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
9.125,<music21.chord.Chord F#3>,[0],[6],[4],54,54,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
10.0,<music21.chord.Chord B4 B3>,[0],[11],[9],71,59,Piano Sonata K284 i D major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
11.5,<music21.chord.Chord F#4 F#3>,[0],[6],[4],66,54,Piano Sonata K284 i D major.mid,Mozart,2,major,[4]_4,0.8078044099203066
12.0,<music21.chord.Chord G4 G3>,[0],[7],[5],67,55,Piano Sonata K284 i D major.mid,Mozart,2,major,[5]_5,0.8078044099203066
