offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord G4 B-4 E-2 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,39,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.8484835693073078
0.625,<music21.chord.Chord E-2 E-3>,[0],[3],[0],51,39,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.856362831663173
1.0,<music21.chord.Chord E-4 G4 E-2 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,39,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.856362831663173
1.125,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]","[0, 4]",67,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8721602084342559
1.5,<music21.chord.Chord B-3 F4 B-2>,"[0, 5]","[5, 10]","[2, 7]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 7]_7",0.8721602084342559
1.625,<music21.chord.Chord B-3 B-2>,[0],[10],[7],58,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.8721602084342559
1.75,<music21.chord.Chord B-2>,[0],[10],[7],46,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.8721602084342559
2.0,<music21.chord.Chord G3 E-4 E-3>,"[0, 4]","[3, 7]","[0, 4]",63,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8721602084342559
2.5,<music21.chord.Chord B-3 E-3>,"[0, 5]","[10, 3]","[7, 0]",58,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 0]_0",0.9045248845426652
3.0,<music21.chord.Chord E-4>,[0],[3],[0],63,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.9045248845426652
3.5,<music21.chord.Chord D4 F4 B-2>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 11, 2]_7",0.9045248845426652
3.75,<music21.chord.Chord B-2>,[0],[10],[7],46,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.9045248845426652
4.0,<music21.chord.Chord G4 E-4 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.9045248845426652
4.5,<music21.chord.Chord G#4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",68,48,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 9, 0]_9",0.9045248845426652
5.0,<music21.chord.Chord B-4 E-4 G2>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,43,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_4",0.9045248845426652
5.5,<music21.chord.Chord C5 E-4 G#2>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",72,44,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 9, 0]_5",0.9420042802295864
5.875,<music21.chord.Chord G#2>,[0],[8],[5],44,44,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[5]_5,0.9420042802295864
6.0,<music21.chord.Chord E-4 G4 B-2>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",67,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_7",0.9420042802295864
6.75,<music21.chord.Chord G#4 E-4 B-2>,"[0, 2, 7]","[8, 10, 3]","[5, 7, 0]",68,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 7, 0]_7",0.9460377444220356
6.875,<music21.chord.Chord B-2>,[0],[10],[7],46,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.9460377444220356
7.0,<music21.chord.Chord F4 D4 B-2>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 11, 2]_7",0.9460377444220356
7.25,<music21.chord.Chord G4 D4 B-2>,"[0, 3, 7]","[7, 10, 2]","[4, 7, 11]",67,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[4, 7, 11]_7",0.9460377444220356
7.5,<music21.chord.Chord G#4 D4>,"[0, 6]","[2, 8]","[11, 5]",68,62,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 11]_11",0.9460377444220356
7.75,<music21.chord.Chord A4 D4>,"[0, 5]","[9, 2]","[6, 11]",69,62,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[6, 11]_11",0.9460377444220356
8.0,<music21.chord.Chord B-5 B-4 G4>,"[0, 3]","[7, 10]","[4, 7]",82,67,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[4, 7]_4",0.9460377444220356
9.0,<music21.chord.Chord G5 B-4 E-4>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",79,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.9460377444220356
9.5,<music21.chord.Chord F5 B-4 B-3>,"[0, 5]","[5, 10]","[2, 7]",77,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 7]_7",0.9460377444220356
9.875,<music21.chord.Chord B-3>,[0],[10],[7],58,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.9460377444220356
10.0,<music21.chord.Chord B-4 E-5 G3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",75,55,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_4",0.9460377444220356
10.5,<music21.chord.Chord D5 F5 B-3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",77,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 11, 2]_7",0.9460377444220356
11.0,<music21.chord.Chord E-5 G5 E-4>,"[0, 4]","[3, 7]","[0, 4]",79,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.9460377444220356
11.5,<music21.chord.Chord G#5 E-5 C4>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",80,60,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 9, 0]_9",0.9460377444220356
12.0,<music21.chord.Chord E-5 B-5 G3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",82,55,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_4",0.9460377444220356
12.25,<music21.chord.Chord G3>,[0],[7],[4],55,55,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[4]_4,0.9460377444220356
12.5,<music21.chord.Chord B5 G#3 F4>,"[0, 3, 6]","[5, 8, 11]","[2, 5, 8]",83,56,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 5, 8]_5",0.9460377444220356
12.625,<music21.chord.Chord C6 F4>,"[0, 5]","[0, 5]","[9, 2]",84,65,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[9, 2]_2",0.9460377444220356
12.75,<music21.chord.Chord G#5>,[0],[8],[5],80,80,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[5]_5,0.9460377444220356
12.875,<music21.chord.Chord F5>,[0],[5],[2],77,77,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[2]_2,0.9460377444220356
13.0,<music21.chord.Chord E-5 G4 B-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",75,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_7",0.9460377444220356
13.5,<music21.chord.Chord G5 G#4 B-3>,"[0, 1, 3]","[7, 8, 10]","[4, 5, 7]",79,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[4, 5, 7]_7",0.9460377444220356
13.625,<music21.chord.Chord F5 G#4 B-3>,"[0, 3, 5]","[5, 8, 10]","[2, 5, 7]",77,58,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 5, 7]_7",0.9460377444220356
13.75,<music21.chord.Chord E5>,[0],[4],[1],76,76,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[1]_1,0.9460377444220356
13.875,<music21.chord.Chord F5>,[0],[5],[2],77,77,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[2]_2,0.9460377444220356
14.0,<music21.chord.Chord D5 F5 G#4 E-4>,"[0, 1, 3, 6]","[2, 3, 5, 8]","[11, 0, 2, 5]",77,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[11, 0, 2, 5]_0",0.9460377444220356
14.625,<music21.chord.Chord D5 F5 E-4>,"[0, 1, 3]","[2, 3, 5]","[11, 0, 2]",77,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[11, 0, 2]_0",0.9460377444220356
15.0,<music21.chord.Chord E-5 G4 E-4>,"[0, 4]","[3, 7]","[0, 4]",75,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.9460377444220356
15.5,<music21.chord.Chord G4 E-4>,"[0, 4]","[3, 7]","[0, 4]",67,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8979683711883883
16.0,<music21.chord.Chord B-4 G4 E-2 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,39,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.8979683711883883
16.5,<music21.chord.Chord E-2 E-3>,[0],[3],[0],51,39,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.8763726483200903
17.0,<music21.chord.Chord E-4 G4 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8763726483200903
17.125,<music21.chord.Chord E-4 G4>,"[0, 4]","[3, 7]","[0, 4]",67,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8857623538164833
17.5,<music21.chord.Chord B-3 F4 B-2>,"[0, 5]","[5, 10]","[2, 7]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 7]_7",0.8857623538164833
17.625,<music21.chord.Chord B-3 B-2>,[0],[10],[7],58,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.8857623538164833
17.75,<music21.chord.Chord B-2>,[0],[10],[7],46,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[7]_7,0.8857623538164833
18.0,<music21.chord.Chord E-4 G3 E-3>,"[0, 4]","[3, 7]","[0, 4]",63,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8857623538164833
18.25,<music21.chord.Chord G3 E-3>,"[0, 4]","[3, 7]","[0, 4]",55,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.9129574874222912
18.375,<music21.chord.Chord E-3>,[0],[3],[0],51,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.9129574874222912
18.5,<music21.chord.Chord B-3 E-3>,"[0, 5]","[10, 3]","[7, 0]",58,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 0]_0",0.9129574874222912
19.0,<music21.chord.Chord E-4 E-3>,[0],[3],[0],63,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.9129574874222912
19.25,<music21.chord.Chord E-4>,[0],[3],[0],63,63,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[0]_0,0.9129574874222912
19.5,<music21.chord.Chord F4 D4 B-2>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[7, 11, 2]_7",0.9129574874222912
19.875,<music21.chord.Chord F4 B-2>,"[0, 5]","[5, 10]","[2, 7]",65,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[2, 7]_7",0.9129574874222912
20.0,<music21.chord.Chord G4 E-4 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,51,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.9129574874222912
20.5,<music21.chord.Chord G#4 E-4 C3>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",68,48,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 9, 0]_9",0.9129574874222912
21.0,<music21.chord.Chord B-4 E-4 G2>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,43,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_4",0.9129574874222912
21.375,<music21.chord.Chord E-4 G2>,"[0, 4]","[3, 7]","[0, 4]",63,43,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4]_4",0.9476397094497736
21.5,<music21.chord.Chord C5 E-4 G#2>,"[0, 4, 7]","[8, 0, 3]","[5, 9, 0]",72,44,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 9, 0]_5",0.9476397094497736
21.75,<music21.chord.Chord G#2>,[0],[8],[5],44,44,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,[5]_5,0.9476397094497736
22.0,<music21.chord.Chord G4 E-4 B-2>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",67,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_7",0.9476397094497736
22.75,<music21.chord.Chord G#4 B-2>,"[0, 2]","[8, 10]","[5, 7]",68,46,Piano Sonata K570 ii Eb major.mid,Mozart,3,major,"[5, 7]_7",0.9476397094497736
