offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
4.0,<music21.chord.Chord C4>,[0],[0],[0],60,60,Piano Sonata K309 i C major.mid,Mozart,0,major,[0]_0,0.7516806724870597
4.125,<music21.chord.Chord E4>,[0],[4],[4],64,64,Piano Sonata K309 i C major.mid,Mozart,0,major,[4]_4,0.7884483706769411
4.25,<music21.chord.Chord G4>,[0],[7],[7],67,67,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.7884483706769411
4.375,<music21.chord.Chord C5 C2 C3>,[0],[0],[0],72,36,Piano Sonata K309 i C major.mid,Mozart,0,major,[0]_0,0.7884483706769411
6.0,<music21.chord.Chord G4 G1 G2>,[0],[7],[7],67,31,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.7884483706769411
8.0,<music21.chord.Chord E5 E3>,[0],[4],[4],76,52,Piano Sonata K309 i C major.mid,Mozart,0,major,[4]_4,0.7884483706769411
9.5,<music21.chord.Chord F5 F3>,[0],[5],[5],77,53,Piano Sonata K309 i C major.mid,Mozart,0,major,[5]_5,0.8176598399800606
9.75,<music21.chord.Chord D5 D3>,[0],[2],[2],74,50,Piano Sonata K309 i C major.mid,Mozart,0,major,[2]_2,0.8176598399800606
10.0,<music21.chord.Chord C5 C3>,[0],[0],[0],72,48,Piano Sonata K309 i C major.mid,Mozart,0,major,[0]_0,0.8176598399800606
12.0,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]","[4, 7]",79,64,Piano Sonata K309 i C major.mid,Mozart,0,major,"[4, 7]_4",0.8176598399800606
12.375,<music21.chord.Chord G5>,[0],[7],[7],79,79,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
12.5,<music21.chord.Chord G4 G5>,[0],[7],[7],79,67,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
12.875,<music21.chord.Chord G5>,[0],[7],[7],79,79,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
13.0,<music21.chord.Chord G5 E4>,"[0, 3]","[4, 7]","[4, 7]",79,64,Piano Sonata K309 i C major.mid,Mozart,0,major,"[4, 7]_4",0.8176598399800606
13.375,<music21.chord.Chord G5>,[0],[7],[7],79,79,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
13.5,<music21.chord.Chord G4 G5>,[0],[7],[7],79,67,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
13.875,<music21.chord.Chord G5>,[0],[7],[7],79,79,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
14.0,<music21.chord.Chord C#4>,[0],[1],[1],61,61,Piano Sonata K309 i C major.mid,Mozart,0,major,[1]_1,0.8176598399800606
14.5,<music21.chord.Chord G4>,[0],[7],[7],67,67,Piano Sonata K309 i C major.mid,Mozart,0,major,[7]_7,0.8176598399800606
15.0,<music21.chord.Chord A5 C#4>,"[0, 4]","[9, 1]","[9, 1]",81,61,Piano Sonata K309 i C major.mid,Mozart,0,major,"[9, 1]_1",0.8176598399800606
