offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
4.0,<music21.chord.Chord F#4 A4 D5 D2 A2 D3>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",74,38,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4, 7]_0",0.8911404292540199
4.125,<music21.chord.Chord D2 A2 D3>,"[0, 5]","[9, 2]","[7, 0]",50,38,Piano Sonata K311 i D major.mid,Mozart,2,major,"[7, 0]_0",0.8911404292540199
6.0,<music21.chord.Chord G5>,[0],[7],[5],79,79,Piano Sonata K311 i D major.mid,Mozart,2,major,[5]_5,0.8911404292540199
6.125,<music21.chord.Chord G5 D4 F#4>,"[0, 4, 5]","[2, 6, 7]","[0, 4, 5]",79,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4, 5]_0",0.9051202134371192
6.25,<music21.chord.Chord F#5 G5 D4 F#4>,"[0, 4, 5]","[2, 6, 7]","[0, 4, 5]",79,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4, 5]_0",0.9051202134371192
6.333333333,<music21.chord.Chord F#5 D4 F#4>,"[0, 4]","[2, 6]","[0, 4]",78,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4]_0",0.9051202134371192
6.5,<music21.chord.Chord E5 F#5 D4 F#4>,"[0, 2, 4]","[2, 4, 6]","[0, 2, 4]",78,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 2, 4]_0",0.9051202134371192
6.583333333,<music21.chord.Chord E5 D4 F#4>,"[0, 2, 4]","[2, 4, 6]","[0, 2, 4]",76,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 2, 4]_0",0.9051202134371192
6.75,<music21.chord.Chord F#5 E5 D4 F#4>,"[0, 2, 4]","[2, 4, 6]","[0, 2, 4]",78,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 2, 4]_0",0.9051202134371192
6.833333333,<music21.chord.Chord F#5 D4 F#4>,"[0, 4]","[2, 6]","[0, 4]",78,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4]_0",0.9051202134371192
7.0,<music21.chord.Chord A5 E4 G4 D4 F#4>,"[0, 2, 4, 5, 7]","[2, 4, 6, 7, 9]","[0, 2, 4, 5, 7]",81,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 2, 4, 5, 7]_0",0.9051202134371192
7.125,<music21.chord.Chord A5 E4 G4>,"[0, 3, 5]","[4, 7, 9]","[2, 5, 7]",81,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 5, 7]_2",0.9051202134371192
7.25,<music21.chord.Chord G5 A5 E4 G4>,"[0, 3, 5]","[4, 7, 9]","[2, 5, 7]",81,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 5, 7]_2",0.9051202134371192
7.333333333,<music21.chord.Chord G5 E4 G4>,"[0, 3]","[4, 7]","[2, 5]",79,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 5]_2",0.9051202134371192
7.5,<music21.chord.Chord F#5 G5 E4 G4>,"[0, 2, 3]","[4, 6, 7]","[2, 4, 5]",79,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 4, 5]_2",0.9051202134371192
7.583333333,<music21.chord.Chord F#5 E4 G4>,"[0, 2, 3]","[4, 6, 7]","[2, 4, 5]",78,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 4, 5]_2",0.9051202134371192
7.75,<music21.chord.Chord G5 E4 G4>,"[0, 3]","[4, 7]","[2, 5]",79,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 5]_2",0.9051202134371192
8.0,<music21.chord.Chord A5 G5 F#4 A4 E4 G4>,"[0, 2, 3, 5]","[4, 6, 7, 9]","[2, 4, 5, 7]",81,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 4, 5, 7]_2",0.9051202134371192
8.083333332999999,<music21.chord.Chord A5 F#4 A4 E4 G4>,"[0, 2, 3, 5]","[4, 6, 7, 9]","[2, 4, 5, 7]",81,64,Piano Sonata K311 i D major.mid,Mozart,2,major,"[2, 4, 5, 7]_2",0.9051202134371192
8.125,<music21.chord.Chord A5 F#4 A4>,"[0, 3]","[6, 9]","[4, 7]",81,66,Piano Sonata K311 i D major.mid,Mozart,2,major,"[4, 7]_4",0.9051202134371192
8.25,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]","[4, 7]",69,66,Piano Sonata K311 i D major.mid,Mozart,2,major,"[4, 7]_4",0.9051202134371192
10.0,<music21.chord.Chord A5>,[0],[9],[7],81,81,Piano Sonata K311 i D major.mid,Mozart,2,major,[7]_7,0.9051202134371192
10.5,<music21.chord.Chord B5>,[0],[11],[9],83,83,Piano Sonata K311 i D major.mid,Mozart,2,major,[9]_9,0.9051202134371192
11.0,<music21.chord.Chord C#6>,[0],[1],[11],85,85,Piano Sonata K311 i D major.mid,Mozart,2,major,[11]_11,0.9051202134371192
11.5,<music21.chord.Chord D6>,[0],[2],[0],86,86,Piano Sonata K311 i D major.mid,Mozart,2,major,[0]_0,0.9051202134371192
12.0,<music21.chord.Chord A5 F#3>,"[0, 3]","[6, 9]","[4, 7]",81,54,Piano Sonata K311 i D major.mid,Mozart,2,major,"[4, 7]_4",0.9051202134371192
12.5,<music21.chord.Chord A5 D4 F#3>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",81,54,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4, 7]_4",0.9051202134371192
12.875,<music21.chord.Chord A5 D4>,"[0, 5]","[9, 2]","[7, 0]",81,62,Piano Sonata K311 i D major.mid,Mozart,2,major,"[7, 0]_0",0.9051202134371192
13.0,<music21.chord.Chord F#5 A5 D3>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",81,50,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4, 7]_0",0.9051202134371192
13.125,<music21.chord.Chord F#5 D3>,"[0, 4]","[2, 6]","[0, 4]",78,50,Piano Sonata K311 i D major.mid,Mozart,2,major,"[0, 4]_0",0.9051202134371192
13.33333333,<music21.chord.Chord D3>,[0],[2],[0],50,50,Piano Sonata K311 i D major.mid,Mozart,2,major,[0]_0,0.9051202134371192
13.5,<music21.chord.Chord D4>,[0],[2],[0],62,62,Piano Sonata K311 i D major.mid,Mozart,2,major,[0]_0,0.9051202134371192
