offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
2.0,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[7]_7,0.7445640889940941
2.125,<music21.chord.Chord E-3 B-4>,"[0, 5]","[10, 3]","[7, 0]",70,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[7, 0]_0",0.7445640889940941
3.25,<music21.chord.Chord G3 B-4 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.7445640889940941
3.875,<music21.chord.Chord B-4 G3>,"[0, 3]","[7, 10]","[4, 7]",70,55,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[4, 7]_4",0.7445640889940941
3.916666667,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[7]_7,0.7445640889940941
4.0,<music21.chord.Chord B-3 B-4>,[0],[10],[7],70,58,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[7]_7,0.7445640889940941
4.5,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[7]_7,0.7445640889940941
5.0,<music21.chord.Chord G3 B-4>,"[0, 3]","[7, 10]","[4, 7]",70,55,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[4, 7]_4",0.7445640889940941
5.625,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[7]_7,0.7594601726424562
5.875,<music21.chord.Chord G4 E-3 B-4>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.7594601726424562
6.25,<music21.chord.Chord G4 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8930848336272544
6.75,<music21.chord.Chord G3 G4 E-3>,"[0, 4]","[3, 7]","[0, 4]",67,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8930848336272544
6.875,<music21.chord.Chord G3 E-3>,"[0, 4]","[3, 7]","[0, 4]",55,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4]_0",0.8930848336272544
7.375,<music21.chord.Chord E-3>,[0],[3],[0],51,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,[0]_0,0.8982756610169169
7.625,<music21.chord.Chord B-3 G4 E-3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",67,51,Piano Sonata K457 ii Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.8982756610169169
