offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3.0,<music21.chord.Chord B-4 B-3>,[0],[10],[0],70,58,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,[0]_0,0.9488032567086708
3.25,<music21.chord.Chord B-4 F4>,"[0, 5]","[5, 10]","[7, 0]",70,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[7, 0]_7",0.9488032567086708
3.5,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[0, 4]_4",0.9488032567086708
3.75,<music21.chord.Chord B-4 F4>,"[0, 5]","[5, 10]","[7, 0]",70,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[7, 0]_7",0.9488032567086708
3.875,<music21.chord.Chord F4>,[0],[5],[7],65,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,[7]_7,0.9488032567086708
4.0,<music21.chord.Chord D5 B-3>,"[0, 4]","[10, 2]","[0, 4]",74,58,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[0, 4]_0",0.9488032567086708
4.25,<music21.chord.Chord D5 E-5 F4>,"[0, 1, 3]","[2, 3, 5]","[4, 5, 7]",75,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[4, 5, 7]_7",0.9488032567086708
4.375,<music21.chord.Chord D5 C5 F4>,"[0, 2, 5]","[0, 2, 5]","[2, 4, 7]",74,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[2, 4, 7]_7",0.9488032567086708
4.5,<music21.chord.Chord D5 D4>,[0],[2],[4],74,62,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,[4]_4,0.9488032567086708
4.75,<music21.chord.Chord E-5 F4>,"[0, 2]","[3, 5]","[5, 7]",75,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[5, 7]_7",0.9488032567086708
5.0,<music21.chord.Chord E5 A3>,"[0, 5]","[4, 9]","[6, 11]",76,57,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[6, 11]_11",0.9488032567086708
5.25,<music21.chord.Chord E5 F4>,"[0, 1]","[4, 5]","[6, 7]",76,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[6, 7]_7",0.9488032567086708
5.5,<music21.chord.Chord E5 C4>,"[0, 4]","[0, 4]","[2, 6]",76,60,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[2, 6]_2",0.9488032567086708
5.666666667,<music21.chord.Chord C4>,[0],[0],[2],60,60,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,[2]_2,0.9488032567086708
5.75,<music21.chord.Chord F5 F4>,[0],[5],[7],77,65,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,[7]_7,0.9488032567086708
6.0,<music21.chord.Chord C5 A3>,"[0, 3]","[9, 0]","[11, 2]",72,57,Piano Sonata K332 ii Bb major.mid,Mozart,10,major,"[11, 2]_11",0.9488032567086708
