index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 2.666666667,"[1, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 0]",1,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
1,3.0 to 5.875,"[1, 0, 1, 0, 2, 2, 0, 2, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
2,6.0 to 8.666666667000001,"[2, 0, 2, 0, 2, 3, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
3,9.0 to 11.875,"[1, 0, 1, 0, 2, 3, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
4,12.0 to 14.66666667,"[2, 0, 2, 0, 2, 3, 0, 1, 0, 1, 0, 1]",2,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
5,15.0 to 17.66666667,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
6,18.0 to 20.66666667,"[1, 1, 1, 0, 1, 0, 0, 3, 0, 0, 1, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
7,21.0 to 23.91666667,"[3, 0, 1, 1, 3, 3, 0, 3, 0, 2, 3, 1]",3,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
8,24.0 to 26.75,"[1, 0, 1, 0, 1, 3, 1, 1, 1, 1, 0, 0]",9,fMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
9,27.0 to 29.66666667,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
10,30.0 to 32.66666667,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
11,33.0 to 35.66666667,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 2]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
12,36.0 to 38.66666667,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
13,39.0 to 41.66666667,"[1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
14,42.0 to 44.875,"[2, 1, 2, 0, 2, 1, 0, 1, 0, 1, 0, 1]",4,cMinor,Piano Sonata K279 ii F major.mid by Mozart.csv
15,45.0 to 47.91666667,"[2, 0, 2, 1, 2, 0, 1, 2, 0, 1, 0, 2]",8,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
16,48.0 to 50.66666667,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
17,51.0 to 53.75,"[1, 2, 2, 1, 1, 0, 3, 1, 0, 1, 1, 1]",8,dMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
18,54.0 to 56.75,"[1, 0, 1, 2, 3, 0, 0, 3, 0, 1, 0, 1]",7,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
19,57.0 to 59.75,"[2, 0, 2, 0, 1, 0, 1, 1, 0, 2, 0, 2]",8,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
20,60.0 to 62.75,"[1, 0, 1, 0, 0, 0, 2, 3, 2, 3, 2, 3]",0,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
21,63.0 to 65.66666667,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
22,66.0 to 68.66666667,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1,aMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
23,69.0 to 71.66666667,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 2]",6,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
24,72.0 to 74.91666667,"[0, 1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1]",1,gMajor,Piano Sonata K279 ii F major.mid by Mozart.csv
