index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 1.625,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
1,2.0 to 3.625,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
2,4.0 to 5.875,"[2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 0, 0]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
3,6.0 to 7.75,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
4,8.0 to 9.625,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
5,10.0 to 11.625,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
6,12.0 to 13.875,"[2, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
7,14.0 to 15.875,"[2, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
8,16.0 to 17.875,"[2, 0, 1, 0, 2, 2, 0, 2, 0, 0, 0, 1]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
9,18.0 to 19.875,"[3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
10,20.0 to 21.75,"[2, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
11,22.0 to 23.75,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
12,24.0 to 25.75,"[0, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 3]",8,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
13,26.0 to 27.75,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",6,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
14,28.0 to 29.75,"[2, 0, 2, 0, 1, 0, 2, 0, 0, 1, 0, 1]",6,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
15,30.0 to 31.75,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
16,32.0 to 33.875,"[1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 1]",4,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
17,34.0 to 35.875,"[1, 1, 2, 0, 0, 0, 2, 1, 0, 0, 0, 1]",7,dMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
