index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,4.0 to 4.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
1,6.0 to 8.5,"[2, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
2,9.0 to 11.33333333,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
3,12.0 to 14.5,"[2, 1, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
4,15.0 to 17.875,"[2, 0, 1, 0, 2, 1, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
5,18.0 to 20.875,"[2, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
6,21.0 to 23.75,"[1, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 1]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
7,24.0 to 26.5,"[2, 0, 2, 0, 2, 2, 1, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
8,27.0 to 29.66666667,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
9,30.0 to 32.5,"[2, 0, 2, 1, 1, 2, 1, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
10,33.0 to 35.66666667,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",2,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
11,36.0 to 38.5,"[2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 0, 0]",2,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
12,39.0 to 41.75,"[2, 0, 1, 0, 2, 0, 0, 1, 1, 1, 0, 1]",4,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
13,42.0 to 44.75,"[2, 0, 1, 0, 1, 1, 1, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
14,45.0 to 47.875,"[3, 0, 1, 0, 3, 2, 0, 2, 0, 1, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
15,48.0 to 50.75,"[1, 0, 1, 0, 1, 3, 0, 3, 0, 1, 0, 2]",8,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
16,51.0 to 53.875,"[3, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1]",5,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
17,54.0 to 56.75,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 2]",8,cMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
18,57.0 to 59.875,"[1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",5,gMajor,Piano Sonata K284 ii A major.mid by Mozart.csv
