index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,2.0 to 3.875,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
1,4.0 to 5.75,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
2,6.0 to 7.0,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
3,8.0 to 9.5,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
4,10.0 to 11.0,"[1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
5,12.0 to 13.5,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
6,14.0 to 15.5,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
7,16.0 to 17.625,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
8,18.0 to 19.875,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
9,20.0 to 21.66666667,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
10,22.0 to 23.5,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
11,24.0 to 25.5,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
12,26.0 to 27.0,"[1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
13,28.0 to 29.625,"[3, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
14,30.0 to 31.875,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
15,32.0 to 33.625,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
16,34.0 to 35.625,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",4,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
17,36.0 to 37.75,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
18,38.0 to 39.625,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
19,40.0 to 41.875,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
20,42.0 to 43.625,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",4,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
21,44.0 to 45.625,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
22,46.0 to 47.875,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
23,48.0 to 49.75,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
24,50.0 to 51.0,"[1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
25,52.0 to 53.5,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
26,54.0 to 55.0,"[1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
27,56.0 to 57.5,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
28,58.0 to 59.5,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
29,60.0 to 61.625,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
30,62.0 to 63.875,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
31,64.0 to 65.66666667,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
32,66.0 to 67.5,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
33,68.0 to 69.5,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
34,70.0 to 71.0,"[1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
35,72.0 to 73.625,"[3, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 0]",7,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
36,74.0 to 75.875,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
37,76.0 to 77.625,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
38,78.0 to 79.625,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",4,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
39,80.0 to 81.75,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
40,82.0 to 83.625,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
41,84.0 to 85.875,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
42,86.0 to 87.625,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",4,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
43,88.0 to 89.625,"[1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
44,90.0 to 91.66666667,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
45,92.0 to 93.0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",0,bMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
46,94.0 to 95.5,"[0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
47,96.0 to 97.5,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1]",5,aMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
48,98.0 to 98.0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
49,100.0 to 101.0,"[0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
50,102.0 to 102.0,"[0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 2]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
51,104.0 to 105.0,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,aMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
52,106.0 to 106.0,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,aMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
53,109.0 to 109.875,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
54,110.0 to 111.6666667,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
55,112.0 to 113.75,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 0, 1]",0,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
56,114.0 to 115.5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 2]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
