index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,1.75 to 1.75,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
1,2.25 to 3.875,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
2,4.0 to 5.875,"[2, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 1]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
3,6.0 to 7.875,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
4,8.0 to 9.958333332999999,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
5,10.0 to 11.79166667,"[2, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
6,12.0 to 13.625,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
7,14.0 to 15.625,"[2, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",9,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
8,16.0 to 17.66666667,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",9,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
9,18.125 to 19.875,"[3, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
10,20.125 to 21.83333333,"[1, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
11,22.125 to 23.875,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
12,24.0 to 25.75,"[2, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
13,26.0 to 27.75,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
14,28.08333333 to 29.75,"[3, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]",9,fMajor,Piano Sonata K330 i C major.mid by Mozart.csv
15,30.25 to 31.875,"[2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
16,32.0 to 33.875,"[3, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
17,34.25 to 35.875,"[1, 0, 1, 0, 2, 2, 0, 2, 0, 1, 0, 0]",0,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
18,36.25 to 37.91666667,"[2, 0, 2, 0, 1, 1, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
19,38.125 to 39.875,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 2]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
20,40.75 to 41.875,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
21,42.0 to 43.66666667,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
22,44.0 to 45.91666667,"[2, 0, 1, 0, 1, 1, 0, 2, 0, 2, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
23,46.125 to 47.75,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
24,48.0 to 49.75,"[1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
25,50.0 to 51.625,"[3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",2,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
26,52.0 to 53.875,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 2, 1, 0]",3,fMinor,Piano Sonata K330 i C major.mid by Mozart.csv
27,54.0 to 55.75,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
28,56.0 to 57.5,"[3, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
29,58.75 to 59.75,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
30,60.125 to 61.875,"[1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
31,62.0 to 63.75,"[1, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
32,64.0 to 65.79166667,"[1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
33,66.125 to 67.875,"[1, 0, 0, 0, 2, 0, 1, 1, 0, 2, 0, 0]",6,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
34,68.25 to 69.875,"[1, 0, 2, 0, 1, 0, 2, 1, 0, 2, 0, 0]",6,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
35,70.0 to 71.91666667,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",7,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
36,72.125 to 73.75,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
37,74.25 to 75.875,"[1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
38,76.0 to 77.75,"[1, 1, 2, 0, 1, 0, 0, 2, 0, 1, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
39,78.0 to 79.75,"[1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
40,80.25 to 81.875,"[1, 0, 1, 0, 2, 0, 1, 1, 0, 2, 0, 1]",6,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
41,82.0 to 83.95833333,"[2, 0, 2, 0, 1, 0, 2, 1, 0, 2, 0, 1]",6,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
42,84.0 to 85.875,"[1, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 2]",8,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
43,86.0 to 87.70833333,"[2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
44,88.0 to 89.875,"[1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
45,90.0 to 91.875,"[2, 0, 1, 0, 2, 0, 1, 3, 0, 0, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
46,92.125 to 93.875,"[2, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 2]",8,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
47,94.125 to 95.875,"[1, 0, 2, 0, 2, 0, 1, 3, 0, 0, 0, 1]",8,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
48,96.0 to 97.91666667,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
49,98.0 to 99.875,"[2, 0, 1, 0, 2, 0, 0, 3, 0, 1, 0, 2]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
50,100.0 to 101.875,"[2, 0, 1, 0, 2, 0, 2, 2, 0, 2, 0, 1]",6,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
51,102.0 to 103.0,"[1, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0]",6,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
52,104.0 to 105.875,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1]",6,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
53,106.25 to 107.875,"[2, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0]",9,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
54,108.25 to 109.5,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
55,110.0 to 111.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
56,112.3333333 to 113.875,"[1, 0, 1, 0, 0, 0, 1, 3, 0, 1, 0, 2]",8,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
57,114.0 to 115.6666667,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
58,116.0 to 117.6666667,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",7,dMinor,Piano Sonata K330 i C major.mid by Mozart.csv
59,118.125 to 119.125,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",7,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
60,120.0 to 121.75,"[1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
61,122.125 to 123.75,"[2, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
62,124.125 to 125.875,"[2, 1, 1, 0, 2, 0, 1, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
63,126.3333333 to 127.75,"[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
64,128.5 to 129.875,"[0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 0]",6,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
65,130.25 to 131.875,"[2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 2]",2,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
66,132.75 to 133.625,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",7,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
67,134.5 to 135.375,"[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,c#Major,Piano Sonata K330 i C major.mid by Mozart.csv
68,136.375 to 137.5,"[0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",7,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
69,138.25 to 139.625,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1]",4,cMinor,Piano Sonata K330 i C major.mid by Mozart.csv
70,140.0 to 141.625,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 2]",8,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
71,142.0 to 143.875,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
72,144.0 to 145.91666669999995,"[2, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
73,146.0 to 147.625,"[3, 0, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
74,148.125 to 149.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
75,150.25 to 151.875,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1]",6,dMinor,Piano Sonata K330 i C major.mid by Mozart.csv
76,152.125 to 153.875,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",6,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
77,154.125 to 155.625,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
78,156.0 to 157.66666669999995,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",7,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
79,158.125 to 159.75,"[2, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 2]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
80,160.0 to 161.75,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
81,162.0 to 163.875,"[2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
82,164.125 to 165.875,"[1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1]",8,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
83,166.0 to 167.875,"[3, 0, 1, 0, 2, 0, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K330 i C major.mid by Mozart.csv
84,168.33333330000005 to 169.625,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
85,170.0 to 171.75,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1]",6,dMinor,Piano Sonata K330 i C major.mid by Mozart.csv
86,172.0 to 173.75,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",6,dMajor,Piano Sonata K330 i C major.mid by Mozart.csv
87,174.0 to 175.875,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K330 i C major.mid by Mozart.csv
