index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,4.0 to 4.125,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
1,6.0 to 6.833333333,"[1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
2,7.0 to 7.75,"[1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
3,8.0 to 8.25,"[0, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
4,10.0 to 10.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
5,11.0 to 11.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
6,12.0 to 12.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
7,13.0 to 13.5,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
8,14.0 to 14.875,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
9,15.0 to 15.5,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
10,16.0 to 16.5,"[2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
11,18.0 to 18.83333333,"[1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
12,19.0 to 19.75,"[1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
13,20.0 to 20.25,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0]",5,gMinor,Piano Sonata K311 i D major.mid by Mozart.csv
14,22.0 to 22.5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
15,23.0 to 23.5,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
16,24.0 to 24.625,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
17,25.0 to 25.5,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
18,26.0 to 26.75,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
19,27.0 to 27.75,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
20,28.0 to 28.625,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
21,29.0 to 29.625,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
22,30.0 to 30.875,"[1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
23,31.0 to 31.875,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
24,32.0 to 32.5,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
25,33.0 to 33.625,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",4,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
26,34.0 to 34.75,"[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,b-Major,Piano Sonata K311 i D major.mid by Mozart.csv
27,35.0 to 35.75,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
28,36.0 to 36.625,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
29,37.0 to 37.66666667,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
30,38.0 to 38.875,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
31,39.0 to 39.75,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
32,40.0 to 40.625,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
33,41.0 to 41.625,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
34,42.0 to 42.875,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
35,43.0 to 43.75,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",5,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
36,44.0 to 44.83333333,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMinor,Piano Sonata K311 i D major.mid by Mozart.csv
37,45.0 to 45.75,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",5,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
38,46.0 to 46.83333333,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
39,47.0 to 47.75,"[1, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
40,48.0 to 48.75,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
41,49.0 to 49.83333333,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
42,50.0 to 50.83333333,"[0, 0, 0, 0, 1, 2, 0, 1, 0, 2, 0, 0]",6,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
43,51.0 to 51.83333333,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 1]",7,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
44,52.0 to 52.83333333,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1]",5,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
45,53.0 to 53.5,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
46,54.0 to 54.75,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
47,55.0 to 55.75,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
48,56.0 to 56.75,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",5,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
49,57.0 to 57.5,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
50,58.0 to 58.75,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
51,59.0 to 59.75,"[2, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
52,60.0 to 60.75,"[1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
53,61.0 to 61.83333333,"[2, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
54,62.0 to 62.875,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 1]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
55,63.0 to 63.75,"[2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",8,cMajor,Piano Sonata K311 i D major.mid by Mozart.csv
56,64.0 to 64.625,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
57,65.125 to 65.66666667,"[0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
58,66.25 to 66.875,"[1, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 2]",9,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
59,67.0 to 67.83333333,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,fMajor,Piano Sonata K311 i D major.mid by Mozart.csv
60,68.0 to 68.625,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K311 i D major.mid by Mozart.csv
