offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3.0,<music21.chord.Chord F4 F3>,[0],[5],[0],65,53,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
3.5,<music21.chord.Chord F4 A3>,"[0, 4]","[5, 9]","[0, 4]",65,57,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
4.0,<music21.chord.Chord F4 C4>,"[0, 5]","[0, 5]","[7, 0]",65,60,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
4.5,<music21.chord.Chord F4 A3>,"[0, 4]","[5, 9]","[0, 4]",65,57,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
5.0,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[4, 7]",69,60,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
5.5,<music21.chord.Chord A4 A3>,[0],[9],[4],69,57,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.0,<music21.chord.Chord C5 F3>,"[0, 5]","[0, 5]","[7, 0]",72,53,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
6.5,<music21.chord.Chord C5 C4>,[0],[0],[7],72,60,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.0,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]","[7, 10]",72,63,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
7.5,<music21.chord.Chord C5 C4>,[0],[0],[7],72,60,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
8.0,<music21.chord.Chord A4 E-4>,"[0, 6]","[3, 9]","[10, 4]",69,63,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
8.5,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[4, 7]",69,60,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
9.0,<music21.chord.Chord B-4 F3>,"[0, 5]","[5, 10]","[0, 5]",70,53,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
9.5,<music21.chord.Chord B-4 B-3>,[0],[10],[5],70,58,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
10.0,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[5, 9]",70,62,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
10.5,<music21.chord.Chord B-4 B-3>,[0],[10],[5],70,58,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
11.0,<music21.chord.Chord G5 D4>,"[0, 5]","[2, 7]","[9, 2]",79,62,Piano Sonata K332 i F major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
11.5,<music21.chord.Chord G5 B-3>,"[0, 3]","[7, 10]","[2, 5]",79,58,Piano Sonata K332 i F major.mid,Mozart,5,major,"[2, 5]_5",0.8606834499343531
12.0,<music21.chord.Chord F5 F3>,[0],[5],[0],77,53,Piano Sonata K332 i F major.mid,Mozart,5,major,[0]_0,0.8606834499343531
12.5,<music21.chord.Chord E5 G3>,"[0, 3]","[4, 7]","[11, 2]",76,55,Piano Sonata K332 i F major.mid,Mozart,5,major,"[11, 2]_2",0.882834172722838
13.0,<music21.chord.Chord E5 B-3>,"[0, 6]","[4, 10]","[11, 5]",76,58,Piano Sonata K332 i F major.mid,Mozart,5,major,"[5, 11]_5",0.882834172722838
13.5,<music21.chord.Chord E5 G3>,"[0, 3]","[4, 7]","[11, 2]",76,55,Piano Sonata K332 i F major.mid,Mozart,5,major,"[11, 2]_2",0.882834172722838
13.875,<music21.chord.Chord G3>,[0],[7],[2],55,55,Piano Sonata K332 i F major.mid,Mozart,5,major,[2]_2,0.882834172722838
14.0,<music21.chord.Chord B-3>,[0],[10],[5],58,58,Piano Sonata K332 i F major.mid,Mozart,5,major,[5]_5,0.882834172722838
14.5,<music21.chord.Chord G3>,[0],[7],[2],55,55,Piano Sonata K332 i F major.mid,Mozart,5,major,[2]_2,0.882834172722838
15.0,<music21.chord.Chord F5 F3 A3>,"[0, 4]","[5, 9]","[0, 4]",77,53,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 4]_0",0.882834172722838
15.875,<music21.chord.Chord F5>,[0],[5],[0],77,77,Piano Sonata K332 i F major.mid,Mozart,5,major,[0]_0,0.882834172722838
16.0,<music21.chord.Chord A4>,[0],[9],[4],69,69,Piano Sonata K332 i F major.mid,Mozart,5,major,[4]_4,0.882834172722838
17.0,<music21.chord.Chord D5>,[0],[2],[9],74,74,Piano Sonata K332 i F major.mid,Mozart,5,major,[9]_9,0.882834172722838
18.0,<music21.chord.Chord G4>,[0],[7],[2],67,67,Piano Sonata K332 i F major.mid,Mozart,5,major,[2]_2,0.882834172722838
19.0,<music21.chord.Chord C5>,[0],[0],[7],72,72,Piano Sonata K332 i F major.mid,Mozart,5,major,[7]_7,0.882834172722838
20.5,<music21.chord.Chord A4>,[0],[9],[4],69,69,Piano Sonata K332 i F major.mid,Mozart,5,major,[4]_4,0.882834172722838
21.0,<music21.chord.Chord F4 F3>,[0],[5],[0],65,53,Piano Sonata K332 i F major.mid,Mozart,5,major,[0]_0,0.882834172722838
21.875,<music21.chord.Chord F4>,[0],[5],[0],65,65,Piano Sonata K332 i F major.mid,Mozart,5,major,[0]_0,0.832336501423953
22.0,<music21.chord.Chord F4 A2>,"[0, 4]","[5, 9]","[0, 4]",65,45,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 4]_4",0.832336501423953
22.875,<music21.chord.Chord F4>,[0],[5],[0],65,65,Piano Sonata K332 i F major.mid,Mozart,5,major,[0]_0,0.832336501423953
23.0,<music21.chord.Chord F4 D3>,"[0, 3]","[2, 5]","[9, 0]",65,50,Piano Sonata K332 i F major.mid,Mozart,5,major,"[9, 0]_9",0.832336501423953
23.66666667,<music21.chord.Chord D3>,[0],[2],[9],50,50,Piano Sonata K332 i F major.mid,Mozart,5,major,[9]_9,0.832336501423953
24.0,<music21.chord.Chord F4 G4 G2>,"[0, 2]","[5, 7]","[0, 2]",67,43,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 2]_2",0.832336501423953
24.875,<music21.chord.Chord G4>,[0],[7],[2],67,67,Piano Sonata K332 i F major.mid,Mozart,5,major,[2]_2,0.832336501423953
25.0,<music21.chord.Chord E4 G4 C3>,"[0, 4, 7]","[0, 4, 7]","[7, 11, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 11, 2]_7",0.832336501423953
25.125,<music21.chord.Chord F4 E4 G4 C3>,"[0, 4, 5, 7]","[0, 4, 5, 7]","[7, 11, 0, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 11, 0, 2]_7",0.832336501423953
25.25,<music21.chord.Chord F4 G4 C3>,"[0, 2, 7]","[5, 7, 0]","[0, 2, 7]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 2, 7]_7",0.832336501423953
25.33333333,<music21.chord.Chord E4 F4 G4 C3>,"[0, 4, 5, 7]","[0, 4, 5, 7]","[7, 11, 0, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 11, 0, 2]_7",0.832336501423953
25.375,<music21.chord.Chord F4 G4 E4 C3>,"[0, 4, 5, 7]","[0, 4, 5, 7]","[7, 11, 0, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 11, 0, 2]_7",0.832336501423953
25.45833333,<music21.chord.Chord F4 G4 C3>,"[0, 2, 7]","[5, 7, 0]","[0, 2, 7]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 2, 7]_7",0.832336501423953
25.5,<music21.chord.Chord D4 G4 C3>,"[0, 2, 7]","[0, 2, 7]","[7, 9, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 9, 2]_7",0.832336501423953
26.0,<music21.chord.Chord E4 G4 C3>,"[0, 4, 7]","[0, 4, 7]","[7, 11, 2]",67,48,Piano Sonata K332 i F major.mid,Mozart,5,major,"[7, 11, 2]_7",0.832336501423953
26.33333333,<music21.chord.Chord E4 G4>,"[0, 3]","[4, 7]","[11, 2]",67,64,Piano Sonata K332 i F major.mid,Mozart,5,major,"[11, 2]_11",0.832336501423953
26.5,<music21.chord.Chord E4 G4 A2>,"[0, 3, 5]","[4, 7, 9]","[11, 2, 4]",67,45,Piano Sonata K332 i F major.mid,Mozart,5,major,"[11, 2, 4]_4",0.832336501423953
26.66666667,<music21.chord.Chord E4 A2>,"[0, 5]","[4, 9]","[11, 4]",64,45,Piano Sonata K332 i F major.mid,Mozart,5,major,"[11, 4]_4",0.832336501423953
26.875,<music21.chord.Chord A2>,[0],[9],[4],45,45,Piano Sonata K332 i F major.mid,Mozart,5,major,[4]_4,0.832336501423953
27.0,<music21.chord.Chord A4 F4 F2>,"[0, 4]","[5, 9]","[0, 4]",69,41,Piano Sonata K332 i F major.mid,Mozart,5,major,"[0, 4]_0",0.832336501423953
27.875,<music21.chord.Chord F4>,[0],[5],[0],65,65,Piano Sonata K332 i F major.mid,Mozart,10,major,[7]_7,0.8343822691943559
28.0,<music21.chord.Chord B-4 F4 D3>,"[0, 4, 7]","[10, 2, 5]","[5, 9, 0]",70,50,Piano Sonata K332 i F major.mid,Mozart,10,major,"[0, 4, 7]_4",0.8343822691943559
28.875,<music21.chord.Chord F4>,[0],[5],[0],65,65,Piano Sonata K332 i F major.mid,Mozart,10,major,[7]_7,0.8343822691943559
