offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
4.0,<music21.chord.Chord B-4 E-4 G4>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,63,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.8496133207550046
4.625,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[7]_7,0.8496133207550046
4.75,<music21.chord.Chord C5>,[0],[0],[9],72,72,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[9]_9,0.8496133207550046
5.0,<music21.chord.Chord B-4 G4 E-4>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",70,63,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[0, 4, 7]_0",0.8496133207550046
5.875,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[7]_7,0.8496133207550046
6.0,<music21.chord.Chord B-4 D4 F4>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",70,62,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 11, 2]_11",0.8496133207550046
6.25,<music21.chord.Chord D4 F4>,"[0, 3]","[2, 5]","[11, 2]",65,62,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[11, 2]_11",0.8544674133732799
6.5,<music21.chord.Chord B-4 D4 F4>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",70,62,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 11, 2]_11",0.8544674133732799
6.625,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[7]_7,0.8544674133732799
7.0,<music21.chord.Chord E-5 C4 G4>,"[0, 3, 7]","[0, 3, 7]","[9, 0, 4]",75,60,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[9, 0, 4]_9",0.8544674133732799
7.25,<music21.chord.Chord C4 G4>,"[0, 5]","[7, 0]","[4, 9]",67,60,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[4, 9]_9",0.8544674133732799
7.5,<music21.chord.Chord E-5 A4 C4>,"[0, 3, 6]","[9, 0, 3]","[6, 9, 0]",75,60,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[6, 9, 0]_9",0.8544674133732799
7.625,<music21.chord.Chord C4>,[0],[0],[9],60,60,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[9]_9,0.8544674133732799
8.0,<music21.chord.Chord E-5 B-3 B-4>,"[0, 5]","[10, 3]","[7, 0]",75,58,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 0]_7",0.8544674133732799
8.25,<music21.chord.Chord D5 B-3 B-4>,"[0, 4]","[10, 2]","[7, 11]",74,58,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 11]_7",0.8937929376950279
8.5,<music21.chord.Chord C5>,[0],[0],[9],72,72,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[9]_9,0.8937929376950279
8.75,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K282 i Eb major.mid,Mozart,3,major,[7]_7,0.8937929376950279
9.0,<music21.chord.Chord B-4 D4 B-3>,"[0, 4]","[10, 2]","[7, 11]",70,58,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 11]_7",0.8937929376950279
9.75,<music21.chord.Chord D4 B-3>,"[0, 4]","[10, 2]","[7, 11]",62,58,Piano Sonata K282 i Eb major.mid,Mozart,3,major,"[7, 11]_7",0.9558892299335278
