offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord C5 C4>,[0],[0],[0],72,60,Piano Sonata K545 i C major.mid,Mozart,0,major,[0]_0,0.8467971050514521
0.5,<music21.chord.Chord G4 C5 C4>,"[0, 5]","[7, 0]","[7, 0]",72,60,Piano Sonata K545 i C major.mid,Mozart,0,major,"[7, 0]_0",0.8609237299287671
0.875,<music21.chord.Chord C5>,[0],[0],[0],72,72,Piano Sonata K545 i C major.mid,Mozart,0,major,[0]_0,0.8609237299287671
1.0,<music21.chord.Chord E4 C5>,"[0, 4]","[0, 4]","[0, 4]",72,64,Piano Sonata K545 i C major.mid,Mozart,0,major,"[0, 4]_4",0.8609237299287671
1.25,<music21.chord.Chord C5>,[0],[0],[0],72,72,Piano Sonata K545 i C major.mid,Mozart,0,major,[0]_0,0.8727009571526401
1.375,<music21.chord.Chord G4 C5>,"[0, 5]","[7, 0]","[7, 0]",72,67,Piano Sonata K545 i C major.mid,Mozart,0,major,"[7, 0]_7",0.8727009571526401
1.625,<music21.chord.Chord C5>,[0],[0],[0],72,72,Piano Sonata K545 i C major.mid,Mozart,0,major,[0]_0,0.8727009571526401
1.875,<music21.chord.Chord E5 C4 C5>,"[0, 4]","[0, 4]","[0, 4]",76,60,Piano Sonata K545 i C major.mid,Mozart,0,major,"[0, 4]_0",0.8727009571526401
2.0,<music21.chord.Chord E5 C4>,"[0, 4]","[0, 4]","[0, 4]",76,60,Piano Sonata K545 i C major.mid,Mozart,0,major,"[0, 4]_0",0.8727009571526401
2.333333333,<music21.chord.Chord G4 E5 C4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",76,60,Piano Sonata K545 i C major.mid,Mozart,0,major,"[0, 4, 7]_0",0.8727009571526401
2.666666667,<music21.chord.Chord G5 G4 E5 C4>,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",79,60,Piano Sonata K545 i C major.mid,Mozart,0,major,"[0, 4, 7]_0",0.8727009571526401
