offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3.0,<music21.chord.Chord G5>,[0],[7],[9],79,79,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
3.25,<music21.chord.Chord F5>,[0],[5],[7],77,77,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
3.5,<music21.chord.Chord E-5>,[0],[3],[5],75,75,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
3.75,<music21.chord.Chord D5>,[0],[2],[4],74,74,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
4.0,<music21.chord.Chord C5>,[0],[0],[2],72,72,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
4.5,<music21.chord.Chord B-4 B-3>,[0],[10],[0],70,58,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
5.0,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,Piano Sonata K333 i Bb major.mid,Mozart,Ambiguous,Ambiguous,Ambiguous,0.0
5.5,<music21.chord.Chord B-4 F4>,"[0, 5]","[5, 10]","[7, 0]",70,65,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[7, 0]_7",0.8736048362386162
6.0,<music21.chord.Chord B-4 D4>,"[0, 4]","[10, 2]","[0, 4]",70,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 4]_4",0.8736048362386162
6.5,<music21.chord.Chord D5 B-3>,"[0, 4]","[10, 2]","[0, 4]",74,58,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 4]_0",0.8736048362386162
7.0,<music21.chord.Chord G5 D4>,"[0, 5]","[2, 7]","[4, 9]",79,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 9]_4",0.8736048362386162
7.5,<music21.chord.Chord D5 G4>,"[0, 5]","[2, 7]","[4, 9]",74,67,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 9]_9",0.8736048362386162
8.0,<music21.chord.Chord F5>,[0],[5],[7],77,77,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[7]_7,0.8736048362386162
8.5,<music21.chord.Chord F5 C4>,"[0, 5]","[0, 5]","[2, 7]",77,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[2, 7]_2",0.8736048362386162
9.0,<music21.chord.Chord E-5 E-4>,[0],[3],[5],75,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[5]_5,0.8736048362386162
9.5,<music21.chord.Chord E-5 G4>,"[0, 4]","[3, 7]","[5, 9]",75,67,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[5, 9]_9",0.8736048362386162
10.0,<music21.chord.Chord E-5 E-4>,[0],[3],[5],75,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[5]_5,0.8736048362386162
10.5,<music21.chord.Chord F5 C4>,"[0, 5]","[0, 5]","[2, 7]",77,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[2, 7]_2",0.8736048362386162
10.75,<music21.chord.Chord G5 C4>,"[0, 5]","[7, 0]","[9, 2]",79,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[9, 2]_2",0.8736048362386162
11.0,<music21.chord.Chord F5 E-4>,"[0, 2]","[3, 5]","[5, 7]",77,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[5, 7]_5",0.8736048362386162
11.25,<music21.chord.Chord E-5 E-4>,[0],[3],[5],75,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[5]_5,0.8852599905330698
11.5,<music21.chord.Chord D5 G4>,"[0, 5]","[2, 7]","[4, 9]",74,67,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 9]_9",0.8852599905330698
11.75,<music21.chord.Chord C5 G4>,"[0, 5]","[7, 0]","[9, 2]",72,67,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[9, 2]_9",0.8852599905330698
12.0,<music21.chord.Chord B-4>,[0],[10],[0],70,70,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[0]_0,0.8852599905330698
12.5,<music21.chord.Chord B-4 F3>,"[0, 5]","[5, 10]","[7, 0]",70,53,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[7, 0]_7",0.8852599905330698
13.0,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[11, 2]",69,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[11, 2]_2",0.8852599905330698
13.5,<music21.chord.Chord A4 E-4>,"[0, 6]","[3, 9]","[5, 11]",69,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[5, 11]_5",0.8852599905330698
14.0,<music21.chord.Chord A4 C4>,"[0, 3]","[9, 0]","[11, 2]",69,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[11, 2]_2",0.8852599905330698
14.5,<music21.chord.Chord A4 F3>,"[0, 4]","[5, 9]","[7, 11]",69,53,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[7, 11]_7",0.8852599905330698
15.0,<music21.chord.Chord B-4 C4>,"[0, 2]","[10, 0]","[0, 2]",70,60,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 2]_2",0.8852599905330698
15.5,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]","[2, 5]",72,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[2, 5]_5",0.8852599905330698
16.0,<music21.chord.Chord A4 C5>,"[0, 3]","[9, 0]","[11, 2]",72,69,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[11, 2]_11",0.8852599905330698
16.5,<music21.chord.Chord A4 C5 B-3>,"[0, 1, 3]","[9, 10, 0]","[11, 0, 2]",72,58,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[11, 0, 2]_0",0.8852599905330698
17.0,<music21.chord.Chord B-4 D5 D4>,"[0, 4]","[10, 2]","[0, 4]",74,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 4]_4",0.8852599905330698
17.5,<music21.chord.Chord B-4 D5 F4>,"[0, 4, 7]","[10, 2, 5]","[0, 4, 7]",74,65,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 4, 7]_7",0.8852599905330698
18.0,<music21.chord.Chord D4>,[0],[2],[4],62,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,[4]_4,0.8852599905330698
18.5,<music21.chord.Chord F5 B-3>,"[0, 5]","[5, 10]","[7, 0]",77,58,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[7, 0]_0",0.8852599905330698
18.75,<music21.chord.Chord E5 B-3>,"[0, 6]","[4, 10]","[6, 0]",76,58,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[0, 6]_0",0.8852599905330698
19.0,<music21.chord.Chord G5 D4>,"[0, 5]","[2, 7]","[4, 9]",79,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 9]_4",0.8852599905330698
19.25,<music21.chord.Chord F5 D4>,"[0, 3]","[2, 5]","[4, 7]",77,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 7]_4",0.8852599905330698
19.5,<music21.chord.Chord E-5 F4>,"[0, 2]","[3, 5]","[5, 7]",75,65,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[5, 7]_7",0.8852599905330698
19.75,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[4, 7]",74,65,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 7]_7",0.8852599905330698
20.0,<music21.chord.Chord D5 E-4>,"[0, 1]","[2, 3]","[4, 5]",74,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 5]_5",0.8852599905330698
20.5,<music21.chord.Chord C5 G4>,"[0, 5]","[7, 0]","[9, 2]",72,67,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[9, 2]_9",0.8822233591508342
21.0,<music21.chord.Chord C5 D4>,"[0, 2]","[0, 2]","[2, 4]",72,62,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[2, 4]_4",0.8822233591508342
21.5,<music21.chord.Chord B-4 F4>,"[0, 5]","[5, 10]","[7, 0]",70,65,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[7, 0]_7",0.8822233591508342
22.0,<music21.chord.Chord D5 E-4>,"[0, 1]","[2, 3]","[4, 5]",74,63,Piano Sonata K333 i Bb major.mid,Mozart,10,major,"[4, 5]_5",0.8822233591508342
