CentroidLabelIndex_entireUnits,filename,counts
0,Piano Sonata K279 i C major.mid by Mozart.csv,37
0,Piano Sonata K279 ii F major.mid by Mozart.csv,14
0,Piano Sonata K279 iii C major.mid by Mozart.csv,32
0,Piano Sonata K280 i F major.mid by Mozart.csv,40
0,Piano Sonata K282 i Eb major.mid by Mozart.csv,9
0,Piano Sonata K283 i G major.mid by Mozart.csv,18
0,Piano Sonata K284 i D major.mid by Mozart.csv,92
0,Piano Sonata K284 ii A major.mid by Mozart.csv,26
0,Piano Sonata K309 i C major.mid by Mozart.csv,144
0,Piano Sonata K309 ii F major.mid by Mozart.csv,23
0,Piano Sonata K309 iii C major.mid by Mozart.csv,49
0,Piano Sonata K311 ii G major.mid by Mozart.csv,12
0,Piano Sonata K330 i C major.mid by Mozart.csv,53
0,Piano Sonata K330 iii C major.mid by Mozart.csv,41
0,Piano Sonata K332 i F major.mid by Mozart.csv,58
0,Piano Sonata K332 ii Bb major.mid by Mozart.csv,8
0,Piano Sonata K333 i Bb major.mid by Mozart.csv,41
0,Piano Sonata K372a i Bb major.mid by Mozart.csv,98
0,Piano Sonata K457 ii Eb major.mid by Mozart.csv,18
0,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
0,Piano Sonata K545 i C major.mid by Mozart.csv,13
0,Piano Sonata K545 iii C major.mid by Mozart.csv,15
0,Piano Sonata K570 i Bb major.mid by Mozart.csv,45
0,Piano Sonata K570 ii Eb major.mid by Mozart.csv,27
0,Piano Sonata K576 ii A major.mid by Mozart.csv,13
0,Piano Sonata K576 iii D major.mid by Mozart.csv,20
1,Piano Sonata K279 i C major.mid by Mozart.csv,36
1,Piano Sonata K279 ii F major.mid by Mozart.csv,19
1,Piano Sonata K279 iii C major.mid by Mozart.csv,33
1,Piano Sonata K280 i F major.mid by Mozart.csv,29
1,Piano Sonata K282 i Eb major.mid by Mozart.csv,23
1,Piano Sonata K283 i G major.mid by Mozart.csv,19
1,Piano Sonata K284 i D major.mid by Mozart.csv,76
1,Piano Sonata K284 ii A major.mid by Mozart.csv,18
1,Piano Sonata K309 i C major.mid by Mozart.csv,50
1,Piano Sonata K309 ii F major.mid by Mozart.csv,27
1,Piano Sonata K309 iii C major.mid by Mozart.csv,21
1,Piano Sonata K311 i D major.mid by Mozart.csv,21
1,Piano Sonata K311 ii G major.mid by Mozart.csv,34
1,Piano Sonata K330 i C major.mid by Mozart.csv,56
1,Piano Sonata K330 iii C major.mid by Mozart.csv,70
1,Piano Sonata K332 i F major.mid by Mozart.csv,31
1,Piano Sonata K332 ii Bb major.mid by Mozart.csv,14
1,Piano Sonata K333 i Bb major.mid by Mozart.csv,19
1,Piano Sonata K372a i Bb major.mid by Mozart.csv,84
1,Piano Sonata K457 ii Eb major.mid by Mozart.csv,8
1,Piano Sonata K494 ii Bb major.mid by Mozart.csv,19
1,Piano Sonata K545 i C major.mid by Mozart.csv,14
1,Piano Sonata K545 iii C major.mid by Mozart.csv,6
1,Piano Sonata K570 i Bb major.mid by Mozart.csv,33
1,Piano Sonata K570 ii Eb major.mid by Mozart.csv,11
1,Piano Sonata K576 ii A major.mid by Mozart.csv,8
1,Piano Sonata K576 iii D major.mid by Mozart.csv,34
2,Piano Sonata K279 i C major.mid by Mozart.csv,49
2,Piano Sonata K279 ii F major.mid by Mozart.csv,21
2,Piano Sonata K279 iii C major.mid by Mozart.csv,31
2,Piano Sonata K280 i F major.mid by Mozart.csv,66
2,Piano Sonata K282 i Eb major.mid by Mozart.csv,16
2,Piano Sonata K283 i G major.mid by Mozart.csv,31
2,Piano Sonata K284 i D major.mid by Mozart.csv,70
2,Piano Sonata K284 ii A major.mid by Mozart.csv,15
2,Piano Sonata K309 i C major.mid by Mozart.csv,92
2,Piano Sonata K309 ii F major.mid by Mozart.csv,9
2,Piano Sonata K309 iii C major.mid by Mozart.csv,25
2,Piano Sonata K311 i D major.mid by Mozart.csv,10
2,Piano Sonata K311 ii G major.mid by Mozart.csv,32
2,Piano Sonata K330 i C major.mid by Mozart.csv,50
2,Piano Sonata K330 iii C major.mid by Mozart.csv,45
2,Piano Sonata K332 i F major.mid by Mozart.csv,67
2,Piano Sonata K332 ii Bb major.mid by Mozart.csv,7
2,Piano Sonata K333 i Bb major.mid by Mozart.csv,44
2,Piano Sonata K372a i Bb major.mid by Mozart.csv,114
2,Piano Sonata K457 ii Eb major.mid by Mozart.csv,9
2,Piano Sonata K494 ii Bb major.mid by Mozart.csv,20
2,Piano Sonata K545 i C major.mid by Mozart.csv,22
2,Piano Sonata K545 iii C major.mid by Mozart.csv,14
2,Piano Sonata K570 i Bb major.mid by Mozart.csv,42
2,Piano Sonata K570 ii Eb major.mid by Mozart.csv,53
2,Piano Sonata K576 ii A major.mid by Mozart.csv,28
2,Piano Sonata K576 iii D major.mid by Mozart.csv,19
3,Piano Sonata K279 i C major.mid by Mozart.csv,12
3,Piano Sonata K279 ii F major.mid by Mozart.csv,5
3,Piano Sonata K279 iii C major.mid by Mozart.csv,2
3,Piano Sonata K280 i F major.mid by Mozart.csv,20
3,Piano Sonata K282 i Eb major.mid by Mozart.csv,4
3,Piano Sonata K283 i G major.mid by Mozart.csv,1
3,Piano Sonata K284 i D major.mid by Mozart.csv,32
3,Piano Sonata K309 i C major.mid by Mozart.csv,12
3,Piano Sonata K309 ii F major.mid by Mozart.csv,2
3,Piano Sonata K309 iii C major.mid by Mozart.csv,6
3,Piano Sonata K311 i D major.mid by Mozart.csv,20
