index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,4.0 to 7.625,"[2, 0, 1, 0, 1, 0, 1, 1, 0, 2, 0, 1]",4,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
1,8.0 to 11.75,"[1, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 2]",1,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
2,12.0 to 15.875,"[2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 1]",2,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
3,16.0 to 19.75,"[3, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0]",9,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
4,20.0 to 23.75,"[1, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 2]",5,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
5,24.0 to 27.75,"[2, 0, 1, 3, 3, 0, 0, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
6,28.0 to 31.75,"[2, 1, 1, 0, 1, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
7,32.0 to 35.5,"[0, 2, 3, 0, 0, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
8,36.0 to 39.875,"[2, 0, 2, 0, 0, 0, 1, 2, 0, 2, 0, 2]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
9,40.0 to 43.875,"[2, 0, 2, 0, 1, 0, 1, 2, 0, 2, 0, 2]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
10,44.0 to 47.875,"[1, 1, 3, 0, 1, 0, 1, 4, 0, 1, 0, 3]",7,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
11,48.0 to 51.875,"[3, 0, 3, 0, 2, 0, 2, 2, 0, 2, 0, 2]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
12,52.0 to 55.875,"[1, 1, 1, 1, 2, 0, 2, 2, 0, 1, 0, 2]",1,gMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
13,56.0 to 59.875,"[2, 2, 3, 1, 1, 0, 1, 1, 1, 1, 1, 1]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
14,60.0 to 63.875,"[2, 0, 2, 0, 2, 1, 2, 3, 0, 2, 0, 2]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
15,64.0 to 67.66666667,"[2, 0, 1, 0, 1, 0, 1, 1, 0, 2, 0, 1]",4,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
16,68.0 to 71.75,"[1, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 2]",1,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
17,72.0 to 75.875,"[2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 0, 1]",2,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
18,76.0 to 79.75,"[3, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0]",9,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
19,80.0 to 83.75,"[1, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 2]",5,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
20,84.0 to 87.75,"[2, 0, 1, 3, 3, 0, 0, 1, 0, 0, 0, 1]",0,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
21,88.0 to 91.75,"[2, 1, 1, 0, 1, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
22,92.0 to 95.0,"[0, 2, 3, 0, 0, 0, 2, 2, 0, 2, 2, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
