index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.0 to 3.75,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
1,4.0 to 7.5,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 2, 0, 0]",4,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
2,8.0 to 11.75,"[0, 0, 2, 0, 1, 2, 0, 1, 0, 2, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
3,12.0 to 15.5,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1]",8,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
4,16.0 to 19.75,"[2, 0, 1, 0, 2, 1, 1, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
5,20.0 to 23.5,"[1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 0, 1]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
6,24.0 to 27.75,"[1, 0, 1, 0, 2, 1, 1, 2, 0, 1, 0, 1]",1,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
7,28.0 to 31.5,"[1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 0, 1]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
8,32.0 to 35.5,"[2, 0, 2, 0, 3, 2, 0, 3, 0, 1, 0, 1]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
9,36.0 to 39.5,"[2, 0, 2, 0, 2, 3, 0, 3, 0, 0, 0, 2]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
10,40.0 to 43.75,"[4, 0, 0, 0, 3, 1, 0, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
11,44.0 to 47.5,"[3, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1]",4,cMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
12,48.0 to 51.75,"[2, 0, 2, 0, 0, 0, 1, 1, 0, 2, 0, 1]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
13,52.0 to 55.75,"[2, 0, 2, 0, 1, 0, 2, 1, 0, 3, 0, 1]",5,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
14,56.0 to 59.75,"[2, 0, 3, 0, 2, 0, 0, 1, 0, 0, 0, 3]",3,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
15,60.0 to 63.75,"[2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 2]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
