index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,2.0 to 3.916666667,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
1,4.0 to 7.958333333,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
2,8.375 to 11.25,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
3,12.08333333 to 15.875,"[0, 0, 2, 2, 0, 2, 0, 2, 1, 0, 1, 0]",2,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
4,16.0 to 19.25,"[0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
5,20.0 to 23.875,"[0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
6,24.125 to 27.75,"[1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 3, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
7,28.125 to 29.5,"[1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0]",1,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
8,32.375 to 35.25,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",8,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
9,36.125 to 39.75,"[2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 1, 0]",2,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
10,40.5 to 43.33333333,"[1, 0, 0, 1, 0, 2, 0, 2, 2, 1, 1, 0]",2,g#Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
11,44.33333333 to 47.75,"[0, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
12,48.625 to 51.75,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
13,52.0 to 55.625,"[0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
14,56.625 to 59.875,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
15,60.0 to 63.875,"[0, 0, 2, 2, 0, 2, 0, 2, 1, 0, 1, 0]",2,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
16,64.33333333 to 67.625,"[0, 0, 1, 2, 0, 2, 0, 1, 1, 0, 3, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
17,68.625 to 71.33333333,"[0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
18,72.25 to 75.625,"[1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 3, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
19,76.0 to 79.625,"[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0]",1,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
20,80.125 to 83.75,"[1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",9,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
21,84.25 to 87.625,"[1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",9,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
22,88.125 to 89.66666667,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
23,93.0 to 95.75,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",3,g#Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
24,96.33333333 to 99.66666667,"[0, 0, 0, 1, 0, 0, 0, 2, 1, 1, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
25,100.25 to 103.875,"[1, 0, 1, 3, 0, 0, 0, 2, 1, 0, 3, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
26,104.5 to 106.25,"[0, 0, 1, 2, 0, 1, 0, 2, 1, 0, 1, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
27,108.3333333 to 108.8333333,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
28,113.5 to 115.6666667,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]",8,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
29,116.0 to 119.3333333,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0]",8,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
30,120.0 to 121.5,"[0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 1, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
31,124.0 to 127.875,"[1, 1, 1, 1, 1, 3, 1, 0, 0, 1, 1, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
32,128.0 to 131.375,"[1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 0, 0]",1,dMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
33,132.25 to 135.625,"[1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 0, 1]",1,dMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
34,136.0 to 139.75,"[2, 0, 1, 2, 1, 1, 0, 1, 0, 0, 1, 0]",0,e-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
35,140.0 to 143.0,"[0, 0, 1, 2, 1, 1, 0, 1, 0, 1, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
36,144.125 to 147.83333330000005,"[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0]",8,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
37,148.0 to 151.375,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",8,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
38,152.04166669999995 to 155.625,"[1, 0, 2, 1, 0, 1, 0, 2, 0, 1, 2, 0]",0,b-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
39,156.375 to 159.5,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
40,160.375 to 163.83333330000005,"[0, 0, 0, 1, 0, 2, 0, 2, 0, 2, 2, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
41,164.25 to 167.95833330000005,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1,fMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
42,168.25 to 171.33333330000005,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]",1,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
43,172.33333330000005 to 175.875,"[1, 1, 2, 1, 0, 0, 0, 1, 0, 0, 2, 0]",8,b-Minor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
44,176.125 to 179.91666669999995,"[0, 0, 3, 0, 0, 3, 0, 2, 0, 1, 2, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
45,180.5416667 to 183.75,"[0, 0, 3, 0, 0, 3, 0, 0, 2, 0, 1, 1]",8,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
46,184.0 to 187.875,"[1, 0, 2, 1, 1, 1, 1, 3, 2, 0, 0, 1]",2,gMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
47,188.0 to 191.875,"[1, 1, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0]",6,cMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
48,192.0 to 195.75,"[1, 1, 2, 0, 1, 3, 0, 2, 0, 1, 2, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
49,196.6666667 to 199.875,"[1, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
50,200.3333333 to 203.875,"[2, 0, 2, 1, 0, 3, 0, 0, 0, 1, 2, 0]",4,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
51,204.0 to 207.875,"[1, 0, 1, 1, 0, 3, 0, 1, 0, 1, 1, 0]",4,fMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
