index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.0 to 5.5,"[1, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
1,6.0 to 8.5,"[1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1]",9,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
2,9.0 to 11.75,"[2, 0, 1, 0, 1, 2, 0, 1, 1, 1, 1, 1]",1,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
3,12.0 to 14.75,"[1, 1, 2, 1, 1, 0, 0, 2, 0, 1, 0, 1]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
4,15.0 to 17.5,"[2, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
5,18.0 to 20.75,"[2, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1]",2,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
6,21.0 to 23.83333333,"[1, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 0]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
7,24.0 to 26.5,"[3, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
8,27.0 to 29.625,"[2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 0, 2]",3,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
9,30.0 to 32.5,"[2, 0, 2, 0, 2, 2, 1, 3, 0, 1, 0, 2]",7,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
10,33.0 to 35.875,"[2, 0, 2, 0, 2, 0, 1, 1, 0, 2, 0, 1]",2,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
11,36.0 to 38.75,"[1, 0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2]",1,gMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
12,39.0 to 41.625,"[0, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1]",1,b-Major,Piano Sonata K576 ii A major.mid by Mozart.csv
13,42.0 to 44.75,"[1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 0]",9,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
14,45.0 to 47.75,"[1, 0, 1, 0, 2, 2, 0, 3, 1, 2, 0, 2]",7,gMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
15,48.0 to 50.5,"[2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
16,51.0 to 53.75,"[1, 0, 0, 1, 2, 1, 0, 0, 1, 3, 0, 0]",6,cMinor,Piano Sonata K576 ii A major.mid by Mozart.csv
17,54.0 to 56.75,"[0, 0, 1, 1, 1, 1, 0, 0, 3, 0, 1, 2]",8,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
18,57.0 to 59.75,"[1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1]",1,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
19,60.0 to 62.75,"[0, 0, 1, 1, 2, 1, 0, 0, 3, 1, 0, 3]",8,eMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
20,63.0 to 65.75,"[2, 0, 0, 1, 1, 1, 0, 0, 1, 3, 0, 0]",6,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
21,66.0 to 68.75,"[0, 0, 2, 0, 1, 1, 0, 3, 0, 0, 2, 0]",9,b-Minor,Piano Sonata K576 ii A major.mid by Mozart.csv
22,69.0 to 71.75,"[3, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]",2,fMajor,Piano Sonata K576 ii A major.mid by Mozart.csv
