index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,4.0 to 4.75,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
1,5.0 to 5.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
2,6.0 to 6.625,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
3,7.0 to 7.625,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
4,8.0 to 8.75,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
5,9.0 to 9.75,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
6,10.0 to 10.625,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
7,11.0 to 11.75,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1]",2,fMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv
8,12.0 to 12.66666667,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
9,13.0 to 13.875,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
10,14.0 to 14.5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
11,15.0 to 15.875,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
12,16.0 to 16.75,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
13,17.0 to 17.75,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
14,18.0 to 18.875,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
15,19.0 to 19.75,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
16,20.0 to 20.875,"[1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
17,21.0 to 21.875,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
18,22.0 to 22.875,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv
19,23.0 to 23.75,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv
20,24.0 to 24.875,"[1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
21,25.0 to 25.83333333,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
22,26.0 to 26.875,"[2, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
23,27.0 to 27.75,"[1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Minor,Piano Sonata K282 i Eb major.mid by Mozart.csv
24,28.0 to 28.875,"[1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0]",3,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
25,29.0 to 29.75,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0]",9,dMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
26,30.0 to 30.83333333,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]",1,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv
