index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,2.0 to 2.75,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
1,3.0 to 3.75,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
2,4.0 to 4.5,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
3,5.0 to 5.5,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
4,6.0 to 6.5,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K283 i G major.mid by Mozart.csv
5,7.0 to 7.5,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
6,8.0 to 8.75,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K283 i G major.mid by Mozart.csv
7,9.0 to 9.75,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",8,gMajor,Piano Sonata K283 i G major.mid by Mozart.csv
8,10.0 to 10.5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,gMajor,Piano Sonata K283 i G major.mid by Mozart.csv
9,11.0 to 11.5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1,gMajor,Piano Sonata K283 i G major.mid by Mozart.csv
10,12.0 to 12.5,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
11,13.0 to 13.5,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K283 i G major.mid by Mozart.csv
