index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.0 to 3.875,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
1,4.0 to 4.75,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
2,5.0 to 5.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
3,6.0 to 6.875,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
4,7.0 to 7.75,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
5,8.0 to 8.0,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
6,9.0 to 9.875,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
7,10.0 to 10.875,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
8,11.0 to 11.875,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
9,12.0 to 12.875,"[0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
10,13.0 to 13.33333333,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
11,14.0 to 14.75,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
12,15.0 to 15.875,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
13,16.0 to 16.83333333,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
14,17.0 to 17.83333333,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",8,cMinor,Piano Sonata K309 ii F major.mid by Mozart.csv
15,18.0 to 18.875,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0]",3,dMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
16,19.0 to 19.83333333,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",2,g#Minor,Piano Sonata K309 ii F major.mid by Mozart.csv
17,20.0 to 20.83333333,"[1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 2]",4,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
18,21.0 to 21.875,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
19,22.0 to 22.75,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
20,23.0 to 23.83333333,"[1, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
21,24.0 to 24.875,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
22,25.0 to 25.66666667,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
23,26.0 to 26.5,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
24,27.0 to 27.875,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
25,28.0 to 28.75,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
26,29.0 to 29.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
27,30.0 to 30.875,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
28,31.0 to 31.75,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
29,32.0 to 32.0,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
30,33.0 to 33.875,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
31,34.0 to 34.875,"[1, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1]",6,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
32,35.0 to 35.875,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
33,36.0 to 36.875,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",4,gMinor,Piano Sonata K309 ii F major.mid by Mozart.csv
34,37.0 to 37.0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
35,38.0 to 38.75,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
36,39.0 to 39.875,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
37,40.0 to 40.75,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",0,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
38,41.0 to 41.75,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",3,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
39,42.0 to 42.5,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
40,43.75 to 43.75,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
41,44.0 to 44.875,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
42,45.0 to 45.75,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",7,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
43,46.0 to 46.0,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
44,47.0 to 47.75,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
45,48.0 to 48.66666667,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
46,49.0 to 49.5,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
47,50.0 to 50.5,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
48,51.0 to 51.875,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
49,52.0 to 52.75,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
50,53.0 to 53.0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
51,54.0 to 54.875,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
52,55.0 to 55.75,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",1,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
53,56.0 to 56.0,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
54,57.0 to 57.875,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
55,58.0 to 58.875,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
56,59.0 to 59.875,"[1, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1]",4,cMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
57,60.0 to 60.83333333,"[0, 0, 1, 0, 0, 1, 1, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K309 ii F major.mid by Mozart.csv
