index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,2.0 to 2.125,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",3,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
1,3.25 to 3.916666667,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
2,4.0 to 4.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",9,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
3,5.0 to 5.875,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
4,6.25 to 6.875,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0]",4,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
5,7.375 to 7.958333333,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
6,8.375 to 8.375,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K457 ii Eb major.mid by Mozart.csv
7,9.25 to 9.333333332999999,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
8,10.25 to 10.25,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
9,11.125 to 11.25,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
10,12.08333333 to 12.875,"[0, 0, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0]",6,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
11,13.25 to 13.25,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",5,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
12,14.125 to 14.625,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0]",5,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
13,15.0 to 15.875,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]",5,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
14,16.0 to 16.25,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",3,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
15,17.125 to 17.125,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
16,18.25 to 18.25,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
17,19.25 to 19.25,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
18,20.0 to 20.125,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
19,21.0 to 21.875,"[0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 2, 0]",0,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
20,22.33333333 to 22.875,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",9,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
21,23.5 to 23.875,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0]",9,b-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
22,24.125 to 24.875,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]",9,e-Major,Piano Sonata K457 ii Eb major.mid by Mozart.csv
