index,offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 0.875,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
1,1.0 to 1.0,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
2,2.0 to 2.0,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
3,3.0 to 3.0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
4,4.0 to 4.0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
5,5.0 to 5.0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,dMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
6,6.0 to 6.375,"[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
7,7.0 to 7.75,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
8,8.0 to 8.75,"[1, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1]",2,fMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
9,9.0 to 9.875,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
10,10.0 to 10.875,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
11,11.0 to 11.0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
12,12.0 to 12.5,"[0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
13,13.0 to 13.5,"[0, 0, 3, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,gMajor,Piano Sonata K494 ii Bb major.mid by Mozart.csv
