offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
4.0,<music21.chord.Chord A4 A3 C#4>,"[0, 4]","[9, 1]","[0, 4]",69,57,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[0, 4]_0",0.8824070921107551
6.0,<music21.chord.Chord B4 E3 D4>,"[0, 3, 5]","[11, 2, 4]","[2, 5, 7]",71,52,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[2, 5, 7]_7",0.8824070921107551
6.75,<music21.chord.Chord G#4 B4 E3 D4>,"[0, 3, 6, 8]","[8, 11, 2, 4]","[11, 2, 5, 7]",71,52,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[11, 2, 5, 7]_7",0.8824070921107551
7.0,<music21.chord.Chord A4 A3 C#4>,"[0, 4]","[9, 1]","[0, 4]",69,57,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[0, 4]_0",0.8824070921107551
7.25,<music21.chord.Chord A4>,[0],[9],[0],69,69,Piano Sonata K284 ii A major.mid,Mozart,9,major,[0]_0,0.8824070921107551
7.5,<music21.chord.Chord E4 C#4>,"[0, 3]","[1, 4]","[4, 7]",64,61,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[4, 7]_4",0.8824070921107551
8.0,<music21.chord.Chord E-4 C4>,"[0, 3]","[0, 3]","[3, 6]",63,60,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[3, 6]_3",0.8824070921107551
8.5,<music21.chord.Chord E4 C#4>,"[0, 3]","[1, 4]","[4, 7]",64,61,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[4, 7]_4",0.8975461253457967
9.0,<music21.chord.Chord D4 B3>,"[0, 3]","[11, 2]","[2, 5]",62,59,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[2, 5]_2",0.8975461253457967
9.5,<music21.chord.Chord C#4 A3>,"[0, 4]","[9, 1]","[0, 4]",61,57,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[0, 4]_0",0.8975461253457967
10.0,<music21.chord.Chord B4 E3 G#3>,"[0, 4, 7]","[4, 8, 11]","[7, 11, 2]",71,52,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[7, 11, 2]_7",0.8975461253457967
11.33333333,<music21.chord.Chord B4>,[0],[11],[2],71,71,Piano Sonata K284 ii A major.mid,Mozart,9,major,[2]_2,0.8975461253457967
12.0,<music21.chord.Chord C#5 A3 E4>,"[0, 4, 7]","[9, 1, 4]","[0, 4, 7]",73,57,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[0, 4, 7]_0",0.8975461253457967
12.5,<music21.chord.Chord C#5>,[0],[1],[4],73,73,Piano Sonata K284 ii A major.mid,Mozart,9,major,[4]_4,0.8975461253457967
12.75,<music21.chord.Chord A4>,[0],[9],[0],69,69,Piano Sonata K284 ii A major.mid,Mozart,9,major,[0]_0,0.8975461253457967
13.0,<music21.chord.Chord D5 G#3 E4>,"[0, 2, 6]","[2, 4, 8]","[5, 7, 11]",74,56,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[5, 7, 11]_11",0.8975461253457967
13.5,<music21.chord.Chord D4 B3>,"[0, 3]","[11, 2]","[2, 5]",62,59,Piano Sonata K284 ii A major.mid,Mozart,9,major,"[2, 5]_2",0.8975461253457967
