offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
2.0,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9461833960947058
2.75,<music21.chord.Chord D5 D4 G3>,"[0, 5]","[2, 7]","[7, 0]",74,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 0]_0",0.950523503230065
3.0,<music21.chord.Chord C5 D5 D4 G3>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",74,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.950523503230065
3.083333333,<music21.chord.Chord C5 D4 G3>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.950523503230065
3.75,<music21.chord.Chord B4 C5 D4 G3>,"[0, 4, 5, 7]","[7, 11, 0, 2]","[0, 4, 5, 7]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 5, 7]_0",0.950523503230065
3.875,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.950523503230065
4.0,<music21.chord.Chord A4 F#3 D4>,"[0, 4, 7]","[2, 6, 9]","[7, 11, 2]",69,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11, 2]_11",0.950523503230065
5.0,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.950523503230065
5.666666667,<music21.chord.Chord B4 G3>,"[0, 4]","[7, 11]","[0, 4]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4]_0",0.950523503230065
5.75,<music21.chord.Chord B4>,[0],[11],[4],71,71,Piano Sonata K311 ii G major.mid,Mozart,7,major,[4]_4,0.950523503230065
6.0,<music21.chord.Chord C5 D4 A3>,"[0, 3, 5]","[9, 0, 2]","[2, 5, 7]",72,57,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[2, 5, 7]_2",0.950523503230065
7.0,<music21.chord.Chord D5 F#3 D4>,"[0, 4]","[2, 6]","[7, 11]",74,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11]_11",0.950523503230065
8.0,<music21.chord.Chord C5 G3 D4>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.950523503230065
8.5,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.950523503230065
9.0,<music21.chord.Chord A4 B4 D4 G3>,"[0, 2, 4, 7]","[7, 9, 11, 2]","[0, 2, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 2, 4, 7]_0",0.950523503230065
9.125,<music21.chord.Chord A4 D4 G3>,"[0, 2, 7]","[7, 9, 2]","[0, 2, 7]",69,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 2, 7]_0",0.950523503230065
9.5,<music21.chord.Chord G4>,[0],[7],[0],67,67,Piano Sonata K311 ii G major.mid,Mozart,7,major,[0]_0,0.950523503230065
10.0,<music21.chord.Chord G4 C5 E3 E4>,"[0, 4, 7]","[0, 4, 7]","[5, 9, 0]",72,52,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 9, 0]_9",0.950523503230065
11.0,<music21.chord.Chord G4 B4 D3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_7",0.950523503230065
12.0,<music21.chord.Chord G4 E5 C3 C4>,"[0, 4, 7]","[0, 4, 7]","[5, 9, 0]",76,48,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 9, 0]_5",0.9525851507804388
13.5,<music21.chord.Chord G4 D5 B3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",74,59,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_4",0.9525851507804388
14.0,<music21.chord.Chord C5 D4 F#3>,"[0, 2, 6]","[0, 2, 6]","[5, 7, 11]",72,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 11]_11",0.9525851507804388
14.5,<music21.chord.Chord A4 C5 D4 F#3>,"[0, 3, 6, 8]","[6, 9, 0, 2]","[11, 2, 5, 7]",72,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[11, 2, 5, 7]_11",0.9525851507804388
14.625,<music21.chord.Chord D4 F#3>,"[0, 4]","[2, 6]","[7, 11]",62,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11]_11",0.9525851507804388
15.0,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9525851507804388
15.5,<music21.chord.Chord G4 D4 G3>,"[0, 5]","[2, 7]","[7, 0]",67,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 0]_0",0.9525851507804388
16.0,<music21.chord.Chord G4 B4 D3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_7",0.9525851507804388
17.0,<music21.chord.Chord F#4 A4 D3 D4>,"[0, 4, 7]","[2, 6, 9]","[7, 11, 2]",69,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11, 2]_7",0.9525851507804388
17.625,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]","[11, 2]",69,66,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[11, 2]_11",0.9525851507804388
18.0,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9525851507804388
18.75,<music21.chord.Chord D5 D4 G3>,"[0, 5]","[2, 7]","[7, 0]",74,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 0]_0",0.9572633987485586
19.0,<music21.chord.Chord C5 D5 D4 G3>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",74,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.9572633987485586
19.08333333,<music21.chord.Chord C5 D4 G3>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.9697844760732248
19.75,<music21.chord.Chord B4 C5 D4 G3>,"[0, 4, 5, 7]","[7, 11, 0, 2]","[0, 4, 5, 7]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 5, 7]_0",0.9697844760732248
19.875,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9697844760732248
20.0,<music21.chord.Chord A4 F#3 D4>,"[0, 4, 7]","[2, 6, 9]","[7, 11, 2]",69,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11, 2]_11",0.9697844760732248
21.0,<music21.chord.Chord B4 G3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9697844760732248
21.66666667,<music21.chord.Chord B4>,[0],[11],[4],71,71,Piano Sonata K311 ii G major.mid,Mozart,7,major,[4]_4,0.9697844760732248
22.0,<music21.chord.Chord C5 D4 A3>,"[0, 3, 5]","[9, 0, 2]","[2, 5, 7]",72,57,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[2, 5, 7]_2",0.9697844760732248
23.0,<music21.chord.Chord E5 F#3 D4>,"[0, 2, 4]","[2, 4, 6]","[7, 9, 11]",76,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 9, 11]_11",0.9697844760732248
23.5,<music21.chord.Chord D5 D4 F#3>,"[0, 4]","[2, 6]","[7, 11]",74,54,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 11]_11",0.9697844760732248
24.0,<music21.chord.Chord C5 G3 D4>,"[0, 2, 7]","[0, 2, 7]","[5, 7, 0]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 7, 0]_0",0.9697844760732248
24.5,<music21.chord.Chord B4 C5 D4 G3>,"[0, 4, 5, 7]","[7, 11, 0, 2]","[0, 4, 5, 7]",72,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 5, 7]_0",0.9697844760732248
24.625,<music21.chord.Chord B4 D4 G3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_0",0.9697844760732248
25.0,<music21.chord.Chord A4 D4 G3>,"[0, 2, 7]","[7, 9, 2]","[0, 2, 7]",69,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 2, 7]_0",0.9697844760732248
25.33333333,<music21.chord.Chord A4 G3>,"[0, 2]","[7, 9]","[0, 2]",69,55,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 2]_0",0.9697844760732248
25.375,<music21.chord.Chord A4>,[0],[9],[2],69,69,Piano Sonata K311 ii G major.mid,Mozart,7,major,[2]_2,0.9697844760732248
25.5,<music21.chord.Chord G4>,[0],[7],[0],67,67,Piano Sonata K311 ii G major.mid,Mozart,7,major,[0]_0,0.9697844760732248
26.0,<music21.chord.Chord G4 C5 E3 E4>,"[0, 4, 7]","[0, 4, 7]","[5, 9, 0]",72,52,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 9, 0]_9",0.9697844760732248
27.0,<music21.chord.Chord G4 B4 D3 D4>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_7",0.9697844760732248
28.0,<music21.chord.Chord G4 E5 C3 C4>,"[0, 4, 7]","[0, 4, 7]","[5, 9, 0]",76,48,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 9, 0]_5",0.9697844760732248
28.5,<music21.chord.Chord F#5 G4 C3 C4>,"[0, 1, 6]","[6, 7, 0]","[11, 0, 5]",78,48,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[11, 0, 5]_5",0.9488336424816108
28.625,<music21.chord.Chord F#5 C3 C4>,"[0, 6]","[0, 6]","[5, 11]",78,48,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 11]_5",0.9488336424816108
29.0,<music21.chord.Chord G5 F#5 C3 C4>,"[0, 1, 6]","[6, 7, 0]","[11, 0, 5]",79,48,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[11, 0, 5]_5",0.9488336424816108
29.125,<music21.chord.Chord G5>,[0],[7],[0],79,79,Piano Sonata K311 ii G major.mid,Mozart,7,major,[0]_0,0.9750740494770841
29.5,<music21.chord.Chord C5 E3 G3>,"[0, 4, 7]","[0, 4, 7]","[5, 9, 0]",72,52,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[5, 9, 0]_9",0.9750740494770841
29.625,<music21.chord.Chord C5>,[0],[0],[5],72,72,Piano Sonata K311 ii G major.mid,Mozart,7,major,[5]_5,0.9750740494770841
30.0,<music21.chord.Chord B4 G3 D3>,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",71,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[0, 4, 7]_7",0.9750740494770841
30.875,<music21.chord.Chord G3 D3>,"[0, 5]","[2, 7]","[7, 0]",55,50,Piano Sonata K311 ii G major.mid,Mozart,7,major,"[7, 0]_7",0.9750740494770841
