offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
3.5,<music21.chord.Chord B-4>,[0],[10],[0],70,70,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[0]_0,0.9472791924247906
3.75,<music21.chord.Chord D5>,[0],[2],[4],74,74,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[4]_4,0.9472791924247906
4.0,<music21.chord.Chord F5>,[0],[5],[7],77,77,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[7]_7,0.9472791924247906
4.5,<music21.chord.Chord F5 B-3>,"[0, 5]","[5, 10]","[7, 0]",77,58,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[7, 0]_0",0.9472791924247906
4.75,<music21.chord.Chord F5 D4>,"[0, 3]","[2, 5]","[4, 7]",77,62,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[4, 7]_4",0.9472791924247906
4.875,<music21.chord.Chord D4>,[0],[2],[4],62,62,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[4]_4,0.9472791924247906
5.0,<music21.chord.Chord F4>,[0],[5],[7],65,65,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[7]_7,0.9472791924247906
5.5,<music21.chord.Chord D5 F4>,"[0, 3]","[2, 5]","[4, 7]",74,65,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[4, 7]_7",0.9472791924247906
5.75,<music21.chord.Chord F5 F4>,[0],[5],[7],77,65,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[7]_7,0.9472791924247906
6.0,<music21.chord.Chord B-5>,[0],[10],[0],82,82,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[0]_0,0.9472791924247906
6.5,<music21.chord.Chord B-5 D4>,"[0, 4]","[10, 2]","[0, 4]",82,62,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[0, 4]_4",0.9472791924247906
6.75,<music21.chord.Chord B-5 F4>,"[0, 5]","[5, 10]","[7, 0]",82,65,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[7, 0]_7",0.9472791924247906
6.875,<music21.chord.Chord F4>,[0],[5],[7],65,65,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[7]_7,0.9472791924247906
7.0,<music21.chord.Chord B-4>,[0],[10],[0],70,70,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[0]_0,0.9472791924247906
7.5,<music21.chord.Chord D6 B-4>,"[0, 4]","[10, 2]","[0, 4]",86,70,Piano Sonata K372a i Bb major.mid,Mozart,10,major,"[0, 4]_0",0.9472791924247906
7.75,<music21.chord.Chord B-5 B-4>,[0],[10],[0],82,70,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[0]_0,0.9472791924247906
7.875,<music21.chord.Chord B-5>,[0],[10],[0],82,82,Piano Sonata K372a i Bb major.mid,Mozart,10,major,[0]_0,0.9472791924247906
