offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord B-4 B-3 D4>,"[0, 4]","[10, 2]","[7, 11]",70,58,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[5, 9]_5",0.9085943152340652
0.875,<music21.chord.Chord B-4>,[0],[10],[7],70,70,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,[5]_5,0.9390571023388502
1.0,<music21.chord.Chord A4 C4 E-4>,"[0, 3, 6]","[9, 0, 3]","[6, 9, 0]",69,60,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[4, 7, 10]_7",0.9390571023388502
2.0,<music21.chord.Chord B-4 D4 F4>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",70,62,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[5, 9, 0]_9",0.9390571023388502
3.0,<music21.chord.Chord E4 C#4 G3>,"[0, 3, 6]","[1, 4, 7]","[10, 1, 4]",64,55,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[8, 11, 2]_2",0.9502037102980856
4.0,<music21.chord.Chord E4 C4 G3>,"[0, 4, 7]","[0, 4, 7]","[9, 1, 4]",64,55,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[7, 11, 2]_2",0.9502037102980856
5.0,<music21.chord.Chord C5 B-3 G3>,"[0, 3, 5]","[7, 10, 0]","[4, 7, 9]",72,55,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[2, 5, 7]_2",0.9502037102980856
6.0,<music21.chord.Chord F3 B-3>,"[0, 5]","[5, 10]","[2, 7]",58,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 5]_0",0.9502037102980856
6.125,<music21.chord.Chord B4 C5 B-3 F3>,"[0, 1, 2, 7]","[10, 11, 0, 5]","[7, 8, 9, 2]",72,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[5, 6, 7, 0]_0",0.9502037102980856
6.25,<music21.chord.Chord D5 B-3 F3>,"[0, 4, 7]","[10, 2, 5]","[7, 11, 2]",74,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[5, 9, 0]_0",0.9502037102980856
6.375,<music21.chord.Chord C5 B-3 F3>,"[0, 2, 7]","[10, 0, 5]","[7, 9, 2]",72,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[5, 7, 0]_0",0.9502037102980856
7.0,<music21.chord.Chord C5 A3 F3>,"[0, 4, 7]","[5, 9, 0]","[2, 6, 9]",72,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4, 7]_0",0.9502037102980856
7.5,<music21.chord.Chord B-4 A3 F3>,"[0, 4, 5]","[5, 9, 10]","[2, 6, 7]",70,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4, 5]_0",0.9502037102980856
7.75,<music21.chord.Chord A4 A3 F3>,"[0, 4]","[5, 9]","[2, 6]",69,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4]_0",0.9502037102980856
8.0,<music21.chord.Chord G4 A3 F3>,"[0, 2, 4]","[5, 7, 9]","[2, 4, 6]",67,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 2, 4]_0",0.9502037102980856
8.25,<music21.chord.Chord F4 A3 F3>,"[0, 4]","[5, 9]","[2, 6]",65,53,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4]_0",0.9502037102980856
8.5,<music21.chord.Chord E-4 B-3 G3>,"[0, 4, 7]","[3, 7, 10]","[0, 4, 7]",63,55,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[10, 2, 5]_2",0.9502037102980856
8.75,<music21.chord.Chord G4 B-3 G3>,"[0, 3]","[7, 10]","[4, 7]",67,55,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[2, 5]_2",0.9502037102980856
9.0,<music21.chord.Chord F4 A3 C4>,"[0, 4, 7]","[5, 9, 0]","[2, 6, 9]",65,57,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4, 7]_4",0.9502037102980856
9.5,<music21.chord.Chord F4 A3 C4>,"[0, 4, 7]","[5, 9, 0]","[2, 6, 9]",65,57,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[0, 4, 7]_4",0.9502037102980856
9.625,<music21.chord.Chord A3 C4>,"[0, 3]","[9, 0]","[6, 9]",60,57,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[4, 7]_4",0.9502037102980856
9.666666667000001,<music21.chord.Chord E-4 A3 C4>,"[0, 3, 6]","[9, 0, 3]","[6, 9, 0]",63,57,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[4, 7, 10]_4",0.9502037102980856
9.75,<music21.chord.Chord F4 E-4 A3 C4>,"[0, 3, 6, 8]","[9, 0, 3, 5]","[6, 9, 0, 2]",65,57,Piano Sonata K494 ii Bb major.mid,Mozart,5,major,"[4, 7, 10, 0]_4",0.9502037102980856
