offset,Chord,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
0.0,<music21.chord.Chord D5>,[0],[2],[0],74,74,Piano Sonata K576 iii D major.mid,Mozart,2,major,[0]_0,0.9669557261202429
0.5,<music21.chord.Chord D5 F#4 A4>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",74,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[0, 4, 7]_4",0.9669557261202429
0.666666667,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]","[4, 7]",69,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[4, 7]_4",0.9669557261202429
0.75,<music21.chord.Chord E5 F#4 A4>,"[0, 2, 5]","[4, 6, 9]","[2, 4, 7]",76,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[2, 4, 7]_4",0.9669557261202429
0.833333333,<music21.chord.Chord E5>,[0],[4],[2],76,76,Piano Sonata K576 iii D major.mid,Mozart,2,major,[2]_2,0.9669557261202429
0.875,<music21.chord.Chord D5>,[0],[2],[0],74,74,Piano Sonata K576 iii D major.mid,Mozart,2,major,[0]_0,0.9669557261202429
1.0,<music21.chord.Chord C#5 F#4 A4>,"[0, 3, 7]","[6, 9, 1]","[4, 7, 11]",73,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[4, 7, 11]_4",0.9669557261202429
1.333333333,<music21.chord.Chord C#5>,[0],[1],[11],73,73,Piano Sonata K576 iii D major.mid,Mozart,2,major,[11]_11,0.9669557261202429
1.5,<music21.chord.Chord D5 F#4 A4>,"[0, 4, 7]","[2, 6, 9]","[0, 4, 7]",74,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[0, 4, 7]_4",0.9669557261202429
1.625,<music21.chord.Chord F#4 A4>,"[0, 3]","[6, 9]","[4, 7]",69,66,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[4, 7]_4",0.9669557261202429
2.0,<music21.chord.Chord E-5>,[0],[3],[1],75,75,Piano Sonata K576 iii D major.mid,Mozart,2,major,[1]_1,0.9669557261202429
2.5,<music21.chord.Chord E5 G4 B4>,"[0, 3, 7]","[4, 7, 11]","[2, 5, 9]",76,67,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[2, 5, 9]_5",0.9669557261202429
2.75,<music21.chord.Chord E5>,[0],[4],[2],76,76,Piano Sonata K576 iii D major.mid,Mozart,2,major,[2]_2,0.9669557261202429
3.0,<music21.chord.Chord E5 G4 B4>,"[0, 3, 7]","[4, 7, 11]","[2, 5, 9]",76,67,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[2, 5, 9]_5",0.9669557261202429
3.125,<music21.chord.Chord G4 B4>,"[0, 4]","[7, 11]","[5, 9]",71,67,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[5, 9]_5",0.9669557261202429
3.5,<music21.chord.Chord G4 B4>,"[0, 4]","[7, 11]","[5, 9]",71,67,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[5, 9]_5",0.9669557261202429
4.0,<music21.chord.Chord E5>,[0],[4],[2],76,76,Piano Sonata K576 iii D major.mid,Mozart,2,major,[2]_2,0.9669557261202429
4.5,<music21.chord.Chord E5 C#4 A4>,"[0, 4, 7]","[9, 1, 4]","[7, 11, 2]",76,61,Piano Sonata K576 iii D major.mid,Mozart,2,major,"[7, 11, 2]_11",0.9669557261202429
4.75,<music21.chord.Chord F#5>,[0],[6],[4],78,78,Piano Sonata K576 iii D major.mid,Mozart,2,major,[4]_4,0.9669557261202429
