offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
1.75 to 1.75,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,0.7745966692414836,"[0.7745966692414836, -0.2581988897471612, -0.25819888974716115, 0.25819888974716115, 0.25819888974716115, -0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.2581988897471612, 0.25819888974716115, -0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, -0.25819888974716115, 0.2581988897471612, 0.25819888974716115, -0.25819888974716115, -0.25819888974716115, 0.7745966692414836, -0.2581988897471612, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115]"
2.25 to 2.75,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,1.0,"[1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326]"
3.0 to 3.875,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,0.8164965809277258,"[0.8164965809277258, -3.399349888776295e-17, -0.408248290463863, 2.266233259184197e-17, 5.665583147960492e-18, 0.40824829046386296, -0.408248290463863, -1.6996749443881475e-17, -1.1331166295920985e-17, -2.266233259184197e-17, -2.266233259184197e-17, -0.4082482904638629, 0.40824829046386296, -2.266233259184197e-17, -0.40824829046386296, 0.408248290463863, -3.399349888776295e-17, -2.266233259184197e-17, -0.4082482904638629, 0.4082482904638629, 0.40824829046386296, -0.408248290463863, -2.266233259184197e-17, -0.40824829046386296]"
4.0 to 4.875,"[2, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1]",fMajor,0.5703518254720302,"[0.3168621252622388, 0.06337242505244783, -0.19011727515734336, -0.44360697536713467, 0.06337242505244779, 0.5703518254720302, -0.44360697536713456, 0.06337242505244779, 0.06337242505244779, -0.19011727515734328, 0.3168621252622389, -0.19011727515734345, 0.3168621252622388, 0.06337242505244786, 0.06337242505244783, 0.06337242505244779, -0.19011727515734328, 0.3168621252622389, -0.44360697536713467, 0.06337242505244779, 0.5703518254720302, -0.44360697536713456, -0.1901172751573434, -0.19011727515734345]"
5.125 to 5.875,"[2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMinor,0.6172133998483678,"[0.6172133998483675, -0.3086066999241839, -8.565556595235387e-18, -0.3086066999241839, 4.282778297617694e-18, 0.3086066999241839, -0.30860669992418366, -1.284833489285308e-17, 0.3086066999241839, 4.2827782976176937e-17, -8.565556595235387e-18, -0.3086066999241839, 0.6172133998483678, -0.30860669992418377, -1.284833489285308e-17, 0.3086066999241839, 4.2827782976176937e-17, -8.565556595235387e-18, -0.30860669992418377, 4.282778297617694e-18, 0.3086066999241839, -0.30860669992418377, -8.565556595235387e-18, -0.3086066999241839]"
6.0 to 6.666666667,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,0.8819171036881969,"[0.8819171036881969, -0.3779644730092272, -0.12598815766974242, -0.12598815766974242, 0.12598815766974242, 0.12598815766974242, -0.3779644730092272, 0.12598815766974242, 0.12598815766974242, 0.12598815766974242, -0.12598815766974242, -0.3779644730092272, 0.6299407883487121, -0.3779644730092272, -0.12598815766974242, 0.3779644730092272, 0.12598815766974242, -0.12598815766974242, -0.3779644730092272, 0.3779644730092272, 0.12598815766974242, -0.3779644730092272, 0.12598815766974242, -0.3779644730092272]"
7.041666667 to 7.875,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,1.0,"[1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326]"
8.0 to 8.75,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,1.0,"[1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326]"
9.125 to 9.958333332999999,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,1.0,"[1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, -0.33333333333333326]"
10.0 to 10.75,"[1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0]",cMajor,0.6299407883487121,"[0.6299407883487121, 0.12598815766974242, -0.3779644730092272, -0.12598815766974242, 0.12598815766974242, 0.3779644730092272, -0.3779644730092272, -0.12598815766974242, -0.12598815766974242, 0.12598815766974242, 0.12598815766974242, -0.3779644730092272, 0.3779644730092272, 0.12598815766974242, -0.3779644730092272, 0.12598815766974242, 0.12598815766974242, 0.12598815766974242, -0.3779644730092272, 0.3779644730092272, 0.3779644730092272, -0.3779644730092272, -0.12598815766974242, -0.3779644730092272]"
