index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,2.0 to 2.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
1,3.0 to 3.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
2,4.0 to 4.0,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
3,5.0 to 5.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
4,6.0 to 6.0,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
5,7.0 to 7.0,12,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
6,8.0 to 8.5,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
7,9.0 to 9.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
8,10.0 to 10.0,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
9,11.0 to 11.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
10,12.0 to 12.0,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
11,13.5 to 13.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
12,14.0 to 14.625,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
13,15.0 to 15.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
14,16.0 to 16.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
15,17.0 to 17.625,12,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
16,18.0 to 18.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
17,19.0 to 19.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
18,20.0 to 20.0,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
19,21.0 to 21.66666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
20,22.0 to 22.0,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
21,23.0 to 23.5,12,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
22,24.0 to 24.625,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
23,25.0 to 25.5,10,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
24,26.0 to 26.0,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
25,27.0 to 27.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
26,28.0 to 28.625,0,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
27,29.0 to 29.625,13,"[3, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
28,30.0 to 30.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
29,31.0 to 31.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
30,32.0 to 32.5,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
31,33.0 to 33.625,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
32,34.0 to 34.5,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
33,35.0 to 35.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
34,36.0 to 36.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
35,37.0 to 37.75,7,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
36,38.0 to 38.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
37,39.0 to 39.625,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
38,40.0 to 40.875,1,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
39,41.0 to 41.875,16,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
40,42.0 to 42.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
41,43.0 to 43.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
42,44.0 to 44.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
43,45.0 to 45.625,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
44,46.0 to 46.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
45,47.0 to 47.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
46,48.0 to 48.0,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
47,49.0 to 49.75,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
48,50.0 to 50.0,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
49,51.0 to 51.0,12,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
50,52.0 to 52.5,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
51,53.0 to 53.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
52,54.0 to 54.0,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
53,55.0 to 55.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
54,56.0 to 56.0,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
55,57.5 to 57.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
56,58.0 to 58.625,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
57,59.0 to 59.5,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
58,60.0 to 60.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
59,61.0 to 61.625,12,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
60,62.0 to 62.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
61,63.0 to 63.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
62,64.0 to 64.0,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
63,65.0 to 65.66666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
64,66.0 to 66.0,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
65,67.0 to 67.5,12,"[0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",7,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
66,68.0 to 68.625,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
67,69.0 to 69.5,10,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
68,70.0 to 70.0,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
69,71.0 to 71.0,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
70,72.0 to 72.625,0,"[2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
71,73.0 to 73.625,13,"[3, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0]",0,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
72,74.0 to 74.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
73,75.0 to 75.875,5,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",3,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
74,76.0 to 76.5,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
75,77.0 to 77.625,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
76,78.0 to 78.5,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
77,79.0 to 79.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
78,80.0 to 80.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
79,81.0 to 81.75,7,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
80,82.0 to 82.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
81,83.0 to 83.625,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
82,84.0 to 84.875,1,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
83,85.0 to 85.875,16,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1]",8,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
84,86.0 to 86.875,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
85,87.0 to 87.625,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]",5,cMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
86,88.0 to 88.5,16,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
87,89.0 to 89.625,12,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
88,90.0 to 90.0,1,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",8,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
89,91.66666667 to 91.66666667,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
90,92.0 to 92.25,4,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",3,bMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
91,93.0 to 93.0,4,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]",3,bMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
92,94.0 to 94.5,8,"[0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0]",1,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
93,95.0 to 95.5,16,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
94,96.0 to 96.5,17,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1,aMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
95,97.0 to 97.5,17,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1]",5,gMinor,Piano Sonata K311 ii G major.mid by Mozart.csv
96,98.0 to 98.0,7,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K311 ii G major.mid by Mozart.csv
