index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.0 to 3.875,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
1,4.0 to 4.75,8,"[1, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
2,5.0 to 5.75,1,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
3,6.0 to 6.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
4,7.0 to 7.75,18,"[1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0]",3,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
5,8.0 to 8.75,2,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1]",2,fMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
6,9.0 to 9.75,15,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
7,10.0 to 10.75,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
8,11.0 to 11.875,17,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0]",2,c#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
9,12.0 to 12.75,6,"[0, 0, 2, 0, 1, 3, 0, 1, 0, 0, 0, 0]",3,b-Major,Piano Sonata K332 ii Bb major.mid by Mozart.csv
10,13.0 to 13.875,16,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1]",1,gMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
11,14.0 to 14.75,8,"[2, 0, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
12,15.0 to 15.75,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
13,16.0 to 16.75,13,"[2, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
14,17.0 to 17.875,8,"[1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
15,18.0 to 18.75,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
16,19.0 to 19.75,15,"[2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",7,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
17,20.0 to 20.75,11,"[1, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0]",4,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
18,21.0 to 21.75,10,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0]",1,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
19,22.0 to 22.75,12,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0]",9,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
20,23.0 to 23.75,18,"[1, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0]",8,g#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
21,24.0 to 24.75,3,"[1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0]",6,g#Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
22,25.0 to 25.75,15,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
23,26.0 to 26.875,10,"[1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",1,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
24,27.0 to 27.875,2,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
25,28.0 to 28.875,7,"[2, 0, 2, 1, 0, 0, 1, 1, 0, 2, 1, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
26,29.0 to 29.75,16,"[0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 1, 0]",1,e-Major,Piano Sonata K332 ii Bb major.mid by Mozart.csv
27,30.0 to 30.75,11,"[1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0]",4,e-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
28,31.0 to 31.75,12,"[1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0]",4,b-Minor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
29,32.0 to 32.75,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
30,33.0 to 33.875,1,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",1,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
31,34.0 to 34.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
32,35.0 to 35.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
33,36.0 to 36.75,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
34,37.0 to 37.75,19,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
35,38.0 to 38.75,5,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
36,39.0 to 39.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
37,40.0 to 40.75,7,"[1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
38,41.0 to 41.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",9,gMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
39,42.0 to 42.75,16,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1]",1,bMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
40,43.0 to 43.75,15,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
41,44.0 to 44.75,15,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
42,45.0 to 45.0,4,"[0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 2]",5,eMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
43,46.0 to 46.875,15,"[2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",4,cMinor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
44,47.0 to 47.875,15,"[2, 0, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2]",0,cMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
45,48.0 to 48.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",4,dMajor,Piano Sonata K332 ii Bb major.mid by Mozart.csv
