index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.0 to 3.75,17,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
1,4.0 to 4.5,0,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
2,5.0 to 5.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
3,6.0 to 6.5,0,"[2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
4,7.0 to 7.5,17,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0]",9,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
5,8.0 to 8.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
6,9.0 to 9.5,18,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
7,10.0 to 10.75,18,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
8,11.0 to 11.75,18,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
9,12.0 to 12.5,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
10,13.0 to 13.5,4,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
11,14.0 to 14.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
12,15.0 to 15.5,6,"[1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,b-Major,Piano Sonata K333 i Bb major.mid by Mozart.csv
13,16.0 to 16.5,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
14,17.0 to 17.5,8,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
15,18.0 to 18.75,16,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
16,19.0 to 19.75,10,"[0, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
17,20.0 to 20.5,6,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
18,21.0 to 21.5,9,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
19,22.0 to 22.5,6,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
20,23.0 to 23.5,6,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,b-Major,Piano Sonata K333 i Bb major.mid by Mozart.csv
21,24.0 to 24.75,15,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
22,25.0 to 25.75,6,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
23,26.0 to 26.75,16,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
24,27.0 to 27.75,17,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
25,28.0 to 28.5,6,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
26,29.0 to 29.5,9,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
27,30.0 to 30.5,6,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K333 i Bb major.mid by Mozart.csv
28,31.0 to 31.5,6,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1]",1,b-Major,Piano Sonata K333 i Bb major.mid by Mozart.csv
29,32.0 to 32.75,8,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
30,33.0 to 33.75,5,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",7,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
31,34.0 to 34.75,6,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
32,35.0 to 35.5,9,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
33,36.0 to 36.5,1,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
34,37.0 to 37.5,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
35,38.0 to 38.5,6,"[0, 0, 1, 0, 1, 2, 0, 1, 0, 0, 0, 0]",2,b-Major,Piano Sonata K333 i Bb major.mid by Mozart.csv
36,39.0 to 39.5,15,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
37,40.0 to 40.5,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
38,41.0 to 41.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
39,42.0 to 42.0,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
40,43.0 to 43.75,17,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
41,44.0 to 44.5,0,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
42,45.0 to 45.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
43,46.0 to 46.5,0,"[3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
44,47.0 to 47.5,17,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1]",3,aMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
45,48.0 to 48.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
46,49.0 to 49.5,7,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
47,50.0 to 50.75,7,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
48,51.0 to 51.75,2,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1]",3,fMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
49,52.0 to 52.75,7,"[1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
50,53.0 to 53.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
51,54.0 to 54.75,7,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
52,55.0 to 55.75,7,"[1, 0, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
53,56.0 to 56.75,15,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",5,cMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
54,57.0 to 57.5,12,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
55,58.0 to 58.5,5,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
56,59.0 to 59.75,15,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
57,60.0 to 60.5,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
58,61.0 to 61.5,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
59,62.0 to 62.75,19,"[0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
60,63.0 to 63.75,15,"[1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2]",5,gMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
61,64.0 to 64.5,2,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,dMajor,Piano Sonata K333 i Bb major.mid by Mozart.csv
