index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,3.5 to 3.75,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
1,4.0 to 4.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
2,5.0 to 5.75,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
3,6.0 to 6.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
4,7.0 to 7.875,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
5,8.0 to 8.75,6,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1]",7,b-Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
6,9.0 to 9.75,18,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",9,c#Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
7,10.0 to 10.875,6,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",8,b-Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
8,11.0 to 11.75,6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
9,12.0 to 12.75,19,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 2]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
10,13.0 to 13.75,19,"[1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 2]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
11,14.0 to 14.75,1,"[0, 0, 1, 0, 0, 1, 0, 2, 1, 1, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
12,15.0 to 15.75,1,"[0, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 2]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
13,16.0 to 16.25,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
14,17.375 to 17.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",2,fMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
15,18.0 to 18.0,2,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
16,19.5 to 19.75,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
17,20.0 to 20.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
18,21.0 to 21.75,0,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
19,22.0 to 22.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
20,23.0 to 23.875,8,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
21,24.0 to 24.75,18,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",9,fMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
22,25.0 to 25.75,17,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0]",3,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
23,26.0 to 26.875,3,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",3,c#Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
24,27.0 to 27.75,6,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
25,28.0 to 28.75,5,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
26,29.0 to 29.75,2,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K372a i Bb major.mid by Mozart.csv
27,30.0 to 30.875,6,"[0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0]",9,b-Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
28,31.0 to 31.875,19,"[1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
29,32.0 to 32.875,0,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
30,33.0 to 33.75,9,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
31,34.0 to 34.75,11,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",8,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
32,35.0 to 35.75,10,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
33,36.0 to 36.75,10,"[0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
34,37.0 to 37.75,6,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
35,38.0 to 38.75,15,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",4,e-Minor,Piano Sonata K372a i Bb major.mid by Mozart.csv
36,39.0 to 39.75,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
37,40.0 to 40.875,0,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
38,41.0 to 41.75,9,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
39,42.0 to 42.75,11,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]",8,dMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
40,43.0 to 43.75,10,"[0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
41,44.0 to 44.75,10,"[0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
42,45.0 to 45.75,6,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
43,46.0 to 46.75,15,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1]",4,e-Minor,Piano Sonata K372a i Bb major.mid by Mozart.csv
44,47.0 to 47.75,19,"[0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 0, 1]",5,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
45,48.0 to 48.875,13,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
46,49.0 to 49.75,13,"[2, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
47,50.0 to 50.0,0,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
48,51.5 to 51.75,9,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
49,52.0 to 52.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
50,53.0 to 53.75,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
51,54.0 to 54.875,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
52,55.0 to 55.875,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
53,56.0 to 56.375,6,"[0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 2]",9,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
54,58.0 to 58.875,6,"[0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 1]",9,b-Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
55,59.0 to 59.75,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2,eMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
56,60.0 to 60.75,4,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",2,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
57,61.0 to 61.75,3,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",8,c#Major,Piano Sonata K372a i Bb major.mid by Mozart.csv
58,62.0 to 62.75,7,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2]",7,gMajor,Piano Sonata K372a i Bb major.mid by Mozart.csv
