index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 0.5,9,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
1,1.0 to 1.5,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
2,2.0 to 2.5,18,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
3,3.0 to 3.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
4,4.0 to 4.75,8,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
5,5.0 to 5.916666667,4,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
6,6.0 to 6.875,6,"[1, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0]",7,b-Major,Piano Sonata K545 iii C major.mid by Mozart.csv
7,7.0 to 7.666666667,10,"[1, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
8,8.25 to 8.75,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
9,9.25 to 9.666666667000001,18,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
10,10.25 to 10.66666667,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
11,11.125 to 11.875,10,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
12,12.0 to 12.875,18,"[0, 1, 1, 0, 1, 2, 0, 1, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
13,13.125 to 13.75,18,"[1, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
14,14.0 to 14.625,15,"[2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",7,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
15,15.0 to 15.5,9,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
16,16.0 to 16.5,0,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",0,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
17,17.125 to 17.625,18,"[1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
18,18.125 to 18.5,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
19,19.125 to 19.75,15,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
20,20.125 to 20.875,2,"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",4,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
21,21.0 to 21.83333333,15,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",4,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
22,22.0 to 22.875,19,"[1, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1]",7,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
23,23.125 to 23.875,10,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",3,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
24,24.33333333 to 24.875,0,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,cMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
25,25.33333333 to 25.875,18,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0]",2,fMinor,Piano Sonata K545 iii C major.mid by Mozart.csv
26,26.33333333 to 26.875,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2]",1,gMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
27,27.375 to 27.875,9,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",6,cMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
28,28.0 to 28.75,6,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",4,aMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
29,29.0 to 29.75,18,"[1, 0, 0, 0, 0, 3, 0, 1, 0, 2, 0, 1]",2,fMajor,Piano Sonata K545 iii C major.mid by Mozart.csv
