offsetRange,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,triadCoef,coefList
4.0 to 4.125,"[0, 0, 3, 0, 0, 0, 1, 0, 0, 2, 0, 0]",dMajor,0.9045340337332909,"[-0.3015113445777636, -0.3015113445777636, 0.9045340337332909, -0.3015113445777636, -0.3015113445777636, 0.10050378152592121, -0.10050378152592121, 0.3015113445777636, -0.3015113445777636, 0.10050378152592121, 0.3015113445777636, -0.10050378152592121, 0.10050378152592121, -0.3015113445777636, 0.502518907629606, -0.3015113445777636, -0.3015113445777636, 0.7035264706814485, -0.10050378152592121, -0.3015113445777636, -0.3015113445777636, 0.3015113445777636, 0.3015113445777636, -0.3015113445777636]"
6.0 to 6.833333333,"[0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0]",dMajor,0.5261522196019802,"[0.22549380840084865, -0.3758230140014144, 0.5261522196019802, -0.0751646028002829, -0.0751646028002829, -0.3758230140014144, 0.22549380840084865, 0.22549380840084862, -0.3758230140014144, -0.07516460280028286, -0.0751646028002829, 0.22549380840084865, -0.07516460280028286, -0.3758230140014144, 0.5261522196019802, -0.0751646028002829, -0.07516460280028288, -0.0751646028002829, 0.22549380840084865, 0.22549380840084862, -0.3758230140014144, 0.22549380840084865, 0.22549380840084854, -0.3758230140014145]"
7.0 to 7.75,"[0, 0, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0]",dMajor,0.5703518254720302,"[0.31686212526223906, -0.44360697536713456, 0.5703518254720302, 0.0633724250524478, -0.19011727515734336, -0.1901172751573434, 0.0633724250524478, 0.3168621252622389, -0.4436069753671345, 0.06337242505244779, -0.19011727515734336, 0.06337242505244783, 0.06337242505244783, -0.44360697536713467, 0.3168621252622389, 0.06337242505244786, -0.1901172751573434, 0.06337242505244783, 0.0633724250524478, 0.3168621252622389, -0.44360697536713456, 0.31686212526223906, 0.3168621252622389, -0.44360697536713456]"
8.0 to 8.25,"[0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 0, 0]",cMajor,0.3779644730092272,"[0.3779644730092272, -0.3779644730092272, 0.3779644730092272, 0.12598815766974242, -0.12598815766974242, 0.12598815766974242, -0.12598815766974242, 0.12598815766974242, -0.3779644730092272, 0.3779644730092272, -0.3779644730092272, -0.12598815766974242, 0.3779644730092272, -0.3779644730092272, -0.12598815766974242, 0.12598815766974242, -0.12598815766974242, 0.12598815766974242, -0.12598815766974242, 0.3779644730092272, -0.3779644730092272, 0.3779644730092272, 0.12598815766974242, -0.3779644730092272]"
10.0 to 10.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",dMajor,0.25819888974716115,"[-0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, 0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.25819888974716115, 0.2581988897471611, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, 0.25819888974716115, -0.25819888974716115, 0.25819888974716115]"
11.0 to 11.5,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c#Major,0.2581988897471612,"[-0.2581988897471613, 0.2581988897471612, 0.2581988897471612, -0.25819888974716115, -0.25819888974716115, -0.2581988897471612, 0.25819888974716115, 0.2581988897471611, -0.2581988897471613, 0.2581988897471612, 0.25819888974716115, -0.25819888974716115, -0.2581988897471613, 0.25819888974716115, 0.25819888974716115, -0.2581988897471613, 0.2581988897471612, 0.2581988897471612, -0.25819888974716115, -0.25819888974716115, -0.2581988897471613, 0.2581988897471612, 0.25819888974716115, -0.25819888974716115]"
12.0 to 12.875,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,1.0,"[-0.33333333333333326, -0.33333333333333326, 1.0, -0.33333333333333326, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, -0.33333333333333326, 0.5555555555555556, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326, -0.33333333333333326, 0.5555555555555556, 0.1111111111111111, -0.33333333333333326]"
13.0 to 13.5,"[0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",dMajor,0.9258200997725516,"[-0.30860669992418377, -0.30860669992418377, 0.9258200997725516, -0.30860669992418377, -0.30860669992418377, 5.995889616664769e-17, -8.565556595235384e-18, 0.30860669992418366, -0.30860669992418377, 5.995889616664769e-17, 0.3086066999241837, -1.2848334892853078e-17, 5.995889616664769e-17, -0.30860669992418377, 0.6172133998483678, -0.30860669992418377, -0.30860669992418377, 0.6172133998483675, -8.565556595235384e-18, -0.30860669992418377, -0.30860669992418377, 0.30860669992418377, 0.3086066999241837, -0.30860669992418377]"
14.0 to 14.875,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]",dMajor,0.6831300510639732,"[0.2927700218845598, -0.48795003647426644, 0.6831300510639732, -0.0975900072948533, -0.09759000729485331, -0.09759000729485325, -0.0975900072948533, 0.29277002188455986, -0.4879500364742665, 0.29277002188455986, -0.09759000729485333, -0.09759000729485331, 0.29277002188455986, -0.4879500364742665, 0.29277002188455986, -0.09759000729485333, -0.09759000729485326, 0.2927700218845598, -0.0975900072948533, 0.29277002188456, -0.48795003647426644, 0.29277002188455986, 0.29277002188455986, -0.4879500364742666]"
15.0 to 15.5,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",aMajor,0.6172133998483678,"[-8.565556595235384e-18, 5.995889616664769e-17, 0.30860669992418377, 8.565556595235384e-18, -0.30860669992418377, 0.30860669992418377, 7.709000935711847e-17, 4.282778297617692e-18, -0.3086066999241839, 0.6172133998483678, -0.3086066999241839, -0.30860669992418377, 0.30860669992418377, 7.709000935711847e-17, -0.30860669992418377, -8.565556595235384e-18, 5.995889616664769e-17, 0.30860669992418377, -0.30860669992418377, 4.282778297617692e-18, -0.3086066999241839, 0.6172133998483678, 8.565556595235384e-18, -0.30860669992418377]"
