offsetRange,pitchSet,oct_list_set
0.0 to 3.75,"[0, 2, 4, 5, 7, 11]","['B3', 'B4', 'C3', 'C4', 'C5', 'D5', 'E4', 'E5', 'F5', 'G4', 'G5']"
4.0 to 7.875,"[0, 2, 4, 5, 7, 9, 11]","['A4', 'A5', 'B4', 'C5', 'D5', 'E3', 'E5', 'F2', 'F3', 'F5', 'G3', 'G5']"
8.0 to 11.75,"[0, 2, 4, 5, 7, 11]","['B3', 'B4', 'C3', 'C4', 'C5', 'D5', 'E4', 'E5', 'F5', 'G4', 'G5']"
12.0 to 15.875,"[0, 2, 4, 5, 7, 9, 11]","['A4', 'A5', 'B4', 'C5', 'D5', 'E3', 'E5', 'F2', 'F3', 'F5', 'G3', 'G5']"
16.0 to 19.75,"[0, 1, 2, 4, 7, 11]","['B3', 'B4', 'C#5', 'C4', 'C5', 'D4', 'D5', 'E4', 'E5', 'G4']"
20.0 to 23.75,"[0, 1, 2, 3, 4, 5, 7, 11]","['B3', 'C#5', 'C4', 'D4', 'D5', 'E-5', 'E4', 'E5', 'F5', 'G4']"
24.0 to 27.75,"[0, 4, 5, 6, 7, 8, 9, 10]","['A4', 'A5', 'B-5', 'C4', 'C6', 'E4', 'F#5', 'F4', 'G#5', 'G4', 'G5']"
28.0 to 31.75,"[0, 4, 5, 6, 7, 9, 11]","['A4', 'A5', 'B5', 'C4', 'C6', 'E4', 'F#5', 'F4', 'F5', 'G4', 'G5']"
32.0 to 35.75,"[0, 4, 5, 7, 9]","['A3', 'A4', 'A5', 'C4', 'C5', 'E3', 'E4', 'E5', 'F3', 'F4', 'F5', 'G3', 'G4', 'G5']"
36.0 to 39.0,"[0, 2, 4, 5, 7, 8, 9, 11]","['A3', 'B3', 'C4', 'D4', 'D5', 'E5', 'F5', 'G#3', 'G3', 'G5']"
40.0 to 43.75,"[0, 2, 4, 5, 7, 9]","['A3', 'A4', 'A5', 'C4', 'C5', 'D4', 'E3', 'E4', 'E5', 'F3', 'F4', 'F5', 'G3', 'G4', 'G5']"
44.0 to 47.75,"[0, 2, 4, 5, 7, 10, 11]","['B-4', 'B2', 'B3', 'B4', 'C3', 'C4', 'C5', 'D5', 'E4', 'E5', 'F4', 'F5', 'G3', 'G4', 'G5']"
48.0 to 51.75,"[0, 2, 4, 5, 7, 9, 10, 11]","['A4', 'B-4', 'B2', 'B3', 'B4', 'C2', 'C3', 'C4', 'C5', 'D4', 'E4', 'E5', 'F4', 'F5', 'G4']"
52.0 to 55.875,"[0, 2, 4, 5, 7, 9, 10, 11]","['A4', 'B-4', 'B3', 'B4', 'C2', 'C5', 'D4', 'D5', 'E4', 'E5', 'F4', 'F5', 'G3', 'G4']"
56.0 to 59.875,"[0, 2, 4, 5, 7, 9, 11]","['A5', 'B5', 'C4', 'C6', 'D4', 'D5', 'E4', 'E5', 'E6', 'F3', 'F5', 'G3', 'G5']"
60.0 to 63.25,"[0, 2, 3, 4, 5, 7, 11]","['B3', 'C4', 'D5', 'E-5', 'E5', 'F5', 'G3']"
64.0 to 67.625,"[2, 4, 5, 8, 9, 11]","['A5', 'B2', 'B3', 'B4', 'B5', 'D5', 'E2', 'E3', 'E4', 'E5', 'F5', 'G#2', 'G#3', 'G#5']"
68.0 to 71.25,"[0, 2, 9, 11]","['A2', 'A3', 'B4', 'C5', 'D5']"
72.0 to 75.625,"[0, 2, 4, 6, 7, 9]","['A2', 'A3', 'A4', 'A5', 'C5', 'D2', 'D3', 'D4', 'D5', 'E5', 'F#2', 'F#3', 'F#5', 'G5']"
76.0 to 79.75,"[0, 2, 4, 6, 7, 11]","['B3', 'B4', 'C4', 'D5', 'E5', 'F#4', 'F#5', 'G3', 'G4', 'G5']"
80.0 to 83.75,"[0, 2, 4, 6, 7, 11]","['B3', 'B4', 'C4', 'D5', 'E5', 'F#4', 'F#5', 'G4', 'G5']"
84.0 to 87.875,"[0, 2, 4, 6, 7, 8, 9, 11]","['A4', 'A5', 'B3', 'B5', 'C5', 'D5', 'E5', 'F#4', 'F#5', 'G#4', 'G5']"
88.0 to 91.875,"[0, 1, 2, 4, 6, 7, 9, 11]","['A4', 'B4', 'C#4', 'C4', 'C5', 'D5', 'E4', 'E5', 'F#5', 'G4', 'G5']"
92.0 to 95.875,"[0, 1, 2, 4, 6, 7, 8, 9, 11]","['A4', 'A5', 'B5', 'C#5', 'C5', 'D4', 'D5', 'E5', 'F#4', 'F#5', 'G#4', 'G5']"
96.0 to 99.875,"[0, 2, 4, 6, 7, 9, 11]","['A4', 'B4', 'C4', 'C5', 'D4', 'D5', 'E4', 'E5', 'F#4', 'F#5', 'G4', 'G5']"
100.0 to 103.75,"[0, 2, 4, 6, 7, 8, 9, 11]","['A4', 'B4', 'C4', 'C5', 'D4', 'E4', 'F#4', 'G#4', 'G4']"
