index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename
0,0.0 to 0.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
1,1.0 to 1.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
2,2.0 to 2.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
3,3.0 to 3.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
4,4.0 to 4.875,15,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
5,5.0 to 5.875,19,"[1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0]",8,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
6,6.0 to 6.75,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
7,7.0 to 7.75,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",7,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
8,8.0 to 8.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
9,9.0 to 9.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
10,10.0 to 10.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
11,11.0 to 11.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
12,12.0 to 12.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
13,13.0 to 13.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
14,14.0 to 14.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
15,15.0 to 15.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
16,16.0 to 16.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
17,17.0 to 17.875,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
18,18.0 to 18.75,8,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
19,19.0 to 19.875,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
20,20.0 to 20.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
21,21.0 to 21.75,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
22,22.0 to 22.75,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
23,23.0 to 23.75,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,c#Major,Piano Sonata K279 iii C major.mid by Mozart.csv
24,24.0 to 24.75,6,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
25,25.0 to 25.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
26,26.0 to 26.75,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
27,27.0 to 27.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
28,28.0 to 28.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
29,29.0 to 29.75,0,"[1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
30,30.0 to 30.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
31,31.0 to 31.75,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,dMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
32,32.0 to 32.75,12,"[1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",5,aMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
33,33.0 to 33.875,13,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
34,34.0 to 34.75,0,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
35,35.0 to 35.875,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
36,36.0 to 36.875,9,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
37,37.0 to 37.875,3,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
38,38.0 to 38.75,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
39,39.0 to 39.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
40,40.0 to 40.875,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
41,41.0 to 41.875,3,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
42,42.0 to 42.0,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
43,43.5 to 43.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
44,44.0 to 44.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
45,45.0 to 45.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
46,46.0 to 46.875,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
47,47.0 to 47.5,0,"[0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
48,48.0 to 48.5,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
49,49.0 to 49.5,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
50,50.0 to 50.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
51,51.0 to 51.5,5,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2]",0,eMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
52,52.0 to 52.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
53,53.0 to 53.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
54,54.0 to 54.75,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,cMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
55,55.0 to 55.5,3,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
56,56.0 to 56.75,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
57,57.0 to 57.75,16,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
58,58.0 to 58.875,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
59,59.0 to 59.875,11,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,b-Minor,Piano Sonata K279 iii C major.mid by Mozart.csv
60,60.0 to 60.875,16,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,aMinor,Piano Sonata K279 iii C major.mid by Mozart.csv
61,61.0 to 61.75,11,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",2,b-Minor,Piano Sonata K279 iii C major.mid by Mozart.csv
62,62.0 to 62.75,16,"[0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0]",1,bMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
63,63.0 to 63.5,14,"[0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
64,64.0 to 64.5,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
65,65.0 to 65.5,18,"[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
66,66.0 to 66.875,17,"[1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",5,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv
