index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,2.0 to 2.75,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
1,3.0 to 3.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
2,4.0 to 4.5,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
3,5.0 to 5.5,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
4,6.0 to 6.5,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
5,7.0 to 7.5,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
6,8.0 to 8.75,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
7,9.0 to 9.75,5,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
8,10.0 to 10.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
9,11.0 to 11.5,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
10,12.0 to 12.5,14,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,VofAmin,E-BCD,indigo,19
11,13.0 to 13.5,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
12,14.0 to 14.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
13,15.0 to 15.75,13,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj5-1tet,BC-AG,darkviolet,12
14,16.0 to 16.875,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
15,17.0 to 17.75,9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,6-1ofC,A-CF,deepskyblue,7
16,18.0 to 18.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K283 i G major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
