index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,4.0 to 4.375,8,"[4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj-root,C-EG,slateblue,2
1,6.0 to 6.0,3,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
2,8.0 to 8.0,14,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,VofAmin,E-BCD,indigo,19
3,9.5 to 9.75,2,"[0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K309 i C major.mid by Mozart.csv,1777,2/4ofCmaj,DF,green,4
4,10.0 to 10.0,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj-root,C-EG,slateblue,2
5,12.0 to 12.875,4,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
6,13.0 to 13.875,4,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
7,14.0 to 14.5,16,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10
8,15.0 to 15.875,16,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",aMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10
9,16.0 to 16.875,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
10,17.0 to 17.875,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,2/4ofCmaj,DF,green,4
11,18.0 to 18.5,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,chr,FGAB,mediumpurple,10
12,19.0 to 19.875,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Gmaj-root,G-BD,red,9
13,20.0 to 20.875,4,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
14,21.0 to 21.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
15,22.0 to 22.5,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
16,23.0 to 23.875,4,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,Cmaj3rd5th,EG-C,mediumvioletred,8
17,24.0 to 24.875,2,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMinor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,2/4ofCmaj,DF,green,4
18,25.0 to 25.875,19,"[0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K309 i C major.mid by Mozart.csv,1777,4ofC,F-AC,cyan,1
