index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,3.0 to 3.5,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
1,4.0 to 4.5,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj3rd5th,EG-C,mediumvioletred,8
2,5.0 to 5.5,14,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
3,6.0 to 6.5,3,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",4,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Gmaj-root,G-BD,red,9
4,7.0 to 7.5,11,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]",9,e-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
5,8.0 to 8.5,11,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",9,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,iv_ofDmin,GBb-C#D,yellow,0
6,9.0 to 9.5,19,"[1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,4ofC,F-AC,cyan,1
7,10.0 to 10.5,19,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0]",1,fMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,4ofC,F-AC,cyan,1
8,11.0 to 11.5,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",1,fMinor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,2/4ofCmaj,DF,green,4
9,12.0 to 12.5,18,"[2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,V-IofC,D-GBC,crimson,11
10,13.0 to 13.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",5,gMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,2/4ofCmaj,DF,green,4
11,14.0 to 14.5,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,b-Major,Piano Sonata K332 i F major.mid by Mozart.csv,1783,2/4ofCmaj,DF,green,4
12,15.0 to 15.875,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
13,16.0 to 16.0,14,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
14,17.0 to 17.0,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",7,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
15,18.0 to 18.0,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,dMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofG,D-F#A,greenyellow,15
16,19.0 to 19.0,16,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",9,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,chr,FGAB,mediumpurple,10
17,20.5 to 20.5,14,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
18,21.0 to 21.875,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,Cmaj-root,C-EG,slateblue,2
19,22.0 to 22.875,14,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",3,cMajor,Piano Sonata K332 i F major.mid by Mozart.csv,1783,VofAmin,E-BCD,indigo,19
