newCentroidIndex,PS,filename
0,0,5
0,1,38
0,2,57
0,3,84
0,4,59
0,5,39
1,0,8
1,1,44
1,2,23
1,3,37
1,4,79
1,5,114
2,0,9
2,1,123
2,2,100
2,3,68
2,4,99
2,5,206
3,0,4
3,1,43
3,2,35
3,3,15
3,4,52
3,5,74
4,0,3
4,1,79
4,2,43
4,3,90
4,4,122
4,5,153
5,0,13
5,1,57
5,2,48
5,3,21
5,4,36
5,5,121
6,0,18
6,1,74
6,2,66
6,3,54
6,4,104
6,5,182
7,0,7
7,1,79
7,2,93
7,3,90
7,4,129
7,5,134
8,0,7
8,1,165
8,2,138
8,3,86
8,4,130
8,5,224
9,0,15
9,1,126
9,2,185
9,3,131
9,4,141
9,5,156
10,1,107
10,2,85
10,3,141
10,4,128
10,5,134
11,0,8
11,1,86
11,2,97
11,3,80
11,4,55
11,5,88
12,0,6
12,1,80
12,2,104
12,3,89
12,4,55
12,5,125
13,0,14
13,1,44
13,2,96
13,3,48
13,4,15
13,5,35
14,0,10
14,1,46
14,2,67
14,3,85
14,4,77
14,5,55
15,0,4
15,1,118
15,2,151
15,3,97
15,4,46
15,5,26
16,0,5
16,1,39
16,2,101
16,3,90
16,4,59
16,5,85
17,0,5
17,1,139
17,2,211
17,3,140
17,4,119
17,5,118
18,0,17
18,1,68
18,2,141
18,3,56
18,4,30
18,5,31
19,0,2
19,1,81
19,2,99
19,3,143
19,4,131
19,5,96
