index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,4.0 to 4.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
1,5.0 to 5.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj3rd5th,EG-C,mediumvioletred,8
2,6.0 to 6.625,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
3,7.0 to 7.625,12,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]",8,cMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,AminTriad,ACE,steelblue,14
4,8.0 to 8.75,3,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
5,9.0 to 9.75,3,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
6,10.0 to 10.625,16,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",4,aMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
7,11.0 to 11.75,2,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1]",2,fMinor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
8,12.0 to 12.66666667,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",4,fMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,chr,FGAB,mediumpurple,10
9,13.0 to 13.875,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Cmaj-root,C-EG,slateblue,2
10,14.0 to 14.5,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
11,15.0 to 15.875,3,"[0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1]",4,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj-root,G-BD,red,9
12,16.0 to 16.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
13,17.0 to 17.75,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
14,18.0 to 18.875,17,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
15,19.0 to 19.75,17,"[3, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
16,20.0 to 20.875,18,"[1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,V-IofC,D-GBC,crimson,11
17,21.0 to 21.875,5,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2]",2,gMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,Gmaj3rd5th,BD-G,gold,17
18,22.0 to 22.875,2,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
19,23.0 to 23.75,2,"[0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 1]",2,b-Major,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,2/4ofCmaj,DF,green,4
20,24.0 to 24.875,17,"[1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
21,25.0 to 25.83333333,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K282 i Eb major.mid by Mozart.csv,1775,CmajTriad,CEG,blueviolet,5
