index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
0,0.0 to 0.0,17,"[3, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,1
1,1.0 to 1.0,4,"[0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
2,2.0 to 2.0,14,"[0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19,1
3,3.0 to 3.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
4,4.0 to 4.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
5,5.0 to 5.75,1,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16,1
6,6.0 to 6.75,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
7,7.0 to 7.75,18,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
8,8.0 to 8.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
9,9.0 to 9.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
10,10.0 to 10.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
11,11.0 to 11.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
12,12.0 to 12.5,18,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
13,13.0 to 13.75,18,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
14,14.0 to 14.5,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
15,15.0 to 15.5,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
16,16.0 to 16.75,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
17,17.0 to 17.5,8,"[2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
18,18.0 to 18.75,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,1
19,19.0 to 19.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
20,20.0 to 20.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,1
21,21.0 to 21.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,1
22,22.0 to 22.75,18,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
23,23.0 to 23.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
24,24.0 to 24.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
25,25.0 to 25.5,2,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
26,26.0 to 26.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
27,27.0 to 27.75,10,"[0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6,1
28,28.0 to 28.75,18,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11,1
29,29.0 to 29.75,16,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10,1
30,30.0 to 30.75,17,"[1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5,1
31,31.0 to 31.75,2,"[0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
32,32.0 to 32.875,8,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
33,33.0 to 33.5,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
34,34.0 to 34.5,2,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0]",b-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
35,35.0 to 35.5,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
36,36.0 to 36.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
37,37.0 to 37.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
38,38.0 to 38.75,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,1
39,39.0 to 39.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
40,40.0 to 40.66666667,5,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17,1
41,41.0 to 41.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
42,42.0 to 42.75,3,"[0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,1
43,43.0 to 43.66666667,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
44,44.0 to 44.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
45,45.0 to 45.75,3,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9,1
46,46.0 to 46.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
47,47.0 to 47.66666667,2,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4,1
48,48.0 to 48.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2,1
49,49.0 to 49.66666667,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",cMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14,1
50,50.0 to 50.66666667,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8,1
51,51.0 to 51.75,9,"[2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
52,52.0 to 52.75,6,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3]",gMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13,1
53,53.0 to 53.66666667,11,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",e-Major,Piano Sonata K280 i F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0,1
54,54.0 to 54.75,11,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0]",b-Minor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,iv_ofDmin,GBb-C#D,yellow,0,1
55,55.0 to 55.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0]",fMajor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7,1
56,56.0 to 56.66666667,12,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",cMinor,Piano Sonata K280 i F major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14,1
