index,offsetRange,oldCentroidIndex,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex,PS
0,0.0 to 0.875,8,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Cmaj-root,C-EG,slateblue,2,1
1,1.0 to 1.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,CmajTriad,CEG,blueviolet,5,1
2,2.0 to 2.875,17,"[1, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,CmajTriad,CEG,blueviolet,5,1
3,3.125 to 3.666666667,3,"[1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Gmaj-root,G-BD,red,9,1
4,4.125 to 4.875,5,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",gMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Gmaj3rd5th,BD-G,gold,17,1
5,5.0 to 5.875,18,"[2, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,V-IofC,D-GBC,crimson,11,1
6,6.25 to 6.875,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Cmaj3rd5th,EG-C,mediumvioletred,8,1
7,7.25 to 7.75,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",fMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,6-1ofC,A-CF,deepskyblue,7,1
8,8.125 to 8.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",fMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,6-1ofC,A-CF,deepskyblue,7,1
9,9.0 to 9.958333332999999,9,"[1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0]",e-Minor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,6-1ofC,A-CF,deepskyblue,7,1
10,10.0 to 10.875,17,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,CmajTriad,CEG,blueviolet,5,1
11,11.0 to 11.91666667,3,"[0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1]",gMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Gmaj-root,G-BD,red,9,1
12,12.125 to 12.625,10,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Cmaj2-5tet,DEFG,violet,6,1
13,13.0 to 13.875,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",cMajor,Piano Sonata K545 i C major.mid by Mozart.csv,1788,Cmaj3rd5th,EG-C,mediumvioletred,8,1
