index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,0.0 to 0.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
1,1.0 to 1.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
2,2.0 to 2.75,14,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
3,3.0 to 3.75,10,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
4,4.0 to 4.0,19,"[0, 0, 1, 0, 0, 3, 0, 0, 0, 2, 0, 0]",9,fMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
5,5.0 to 5.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
6,6.0 to 6.875,14,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
7,7.0 to 7.875,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
8,8.0 to 8.75,8,"[3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
9,9.0 to 9.75,8,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
10,10.0 to 10.75,14,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
11,11.0 to 11.75,10,"[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
12,12.0 to 12.0,19,"[0, 0, 1, 0, 0, 3, 0, 0, 0, 2, 0, 0]",9,fMinor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
13,13.0 to 13.75,10,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",1,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj2-5tet,DEFG,violet,6
14,14.0 to 14.875,14,"[1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]",5,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,VofAmin,E-BCD,indigo,19
15,15.0 to 15.875,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",1,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
16,16.0 to 16.875,18,"[2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
17,17.0 to 17.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
18,18.0 to 18.75,5,"[0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
19,19.0 to 19.75,5,"[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
20,20.0 to 20.875,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
21,21.0 to 21.75,5,"[0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
22,22.0 to 22.75,4,"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
23,23.0 to 23.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
24,24.0 to 24.875,1,"[1, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
25,25.0 to 25.875,8,"[2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",3,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
26,26.0 to 26.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
27,27.0 to 27.75,9,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
28,28.0 to 28.75,9,"[2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
29,29.0 to 29.75,19,"[1, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1]",4,fMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
30,30.0 to 30.75,1,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
31,31.0 to 31.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
32,32.0 to 32.75,4,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
33,33.0 to 33.75,4,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",7,cMajor,Piano Sonata K279 i C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
