index,offsetRange,CentroidLabelIndex_entireUnits,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]",CentroidLabelIndex_individualUnit,triadLabel,filename,year,chordName,pc-labels,color,newCentroidIndex
0,0.0 to 0.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
1,1.0 to 1.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
2,2.0 to 2.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
3,3.0 to 3.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
4,4.0 to 4.875,15,"[2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
5,5.0 to 5.875,19,"[1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0]",8,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,4ofC,F-AC,cyan,1
6,6.0 to 6.75,18,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
7,7.0 to 7.75,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0]",7,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
8,8.0 to 8.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
9,9.0 to 9.625,15,"[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj1-4tet,C-DEF,blue,3
10,10.0 to 10.875,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
11,11.0 to 11.625,13,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1,fMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
12,12.0 to 12.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
13,13.0 to 13.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
14,14.0 to 14.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
15,15.0 to 15.875,5,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
16,16.0 to 16.875,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
17,17.0 to 17.875,2,"[0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 1]",3,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,2/4ofCmaj,DF,green,4
18,18.0 to 18.75,8,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj-root,C-EG,slateblue,2
19,19.0 to 19.875,9,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
20,20.0 to 20.75,17,"[2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0]",4,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,CmajTriad,CEG,blueviolet,5
21,21.0 to 21.75,1,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",2,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-IV/vii,F#G-ACE,salmon,16
22,22.0 to 22.75,5,"[0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
23,23.0 to 23.75,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,c#Major,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
24,24.0 to 24.75,6,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 2]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,GmajTriad,GBD,orange,13
25,25.0 to 25.75,5,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj3rd5th,BD-G,gold,17
26,26.0 to 26.75,7,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
27,27.0 to 27.75,13,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",6,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
28,28.0 to 28.75,7,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
29,29.0 to 29.75,0,"[1, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
30,30.0 to 30.75,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
31,31.0 to 31.75,18,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,dMinor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
32,32.0 to 32.75,12,"[1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0]",5,aMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,AminTriad,ACE,steelblue,14
33,33.0 to 33.875,13,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]",1,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
34,34.0 to 34.75,0,"[0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
35,35.0 to 35.875,18,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V-IofC,D-GBC,crimson,11
36,36.0 to 36.875,9,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,6-1ofC,A-CF,deepskyblue,7
37,37.0 to 37.875,3,"[1, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
38,38.0 to 38.75,0,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
39,39.0 to 39.875,7,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,V7ofG,DF#AC,lime,18
40,40.0 to 40.875,13,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1]",1,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj5-1tet,BC-AG,darkviolet,12
41,41.0 to 41.875,3,"[0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1]",7,gMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Gmaj-root,G-BD,red,9
42,42.0 to 42.0,0,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
43,43.5 to 43.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
44,44.0 to 44.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
45,45.0 to 45.5,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
46,46.0 to 46.875,4,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",2,gMinor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
47,47.0 to 47.5,0,"[0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0]",9,dMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,VofG,D-F#A,greenyellow,15
48,48.0 to 48.5,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10
49,49.0 to 49.5,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,eMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,chr,FGAB,mediumpurple,10
50,50.0 to 50.875,4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",6,cMajor,Piano Sonata K279 iii C major.mid by Mozart.csv,1774,Cmaj3rd5th,EG-C,mediumvioletred,8
